S.No,Bank Name,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,ICICI BANK,Executive Enginer,Flood Protection Division Gagret,1.0,Corrigendum,Other,,HP Irrigation and Public Health||IPH Circle Swan River Flood Management Project Una - HPIPH||Flood Protection Gagret - HPIPH,JSV/FPDG/CB/EA-I/NIT- Tender File/2023-24-3028-67,2023_HPIPH_76397_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,19-Jul-2023 05:00 PM,28-Jul-2023 12:30 PM,19-Jul-2023 05:00 PM,28-Jul-2023 11:00 AM,19-Jul-2023 05:00 PM ,27-Jul-2023 12:00 PM ,19-Jul-2023 05:00 PM,28-Jul-2023 11:00 AM,04-Aug-2023 01:15 PM,Providing and Fixing of Hydrants for Gagret Town in Tehsil Ghanari Distt Una,Providing and Laying for separate gravity mains for Fire Hydrants to Gagret Town,Please refer Tender documents. ,NA ,"44,33,017",Civil Works,NA ,Tender,120.0,30.0,Gagret,177201.0,FP Division Gagret ,Executive Engineer FP Division Gagret ,22-Jul-2023 12:00 PM ,FP Division Gagret,No ,No,"88,660",Yes,fixed,,EE FP Division,Gagret,1.0,Fee/PreQual/Technical,.pdf,Registration in HP Jal Shakti Vibhag as per NIT condition No. 11 (i),800.0,EE FP Division,Gagret,No,27-Sep-2023,"INR 2,410,354",30.0,Ashwani Kumar Chaudhary,27-Sep-2023 11:27 AM,Award-Fire-Gagret.pdf (2865.00 KB),See the uploaded document,Finance,See the uploaded document,Ashwani Kumar Chaudhary,04-Aug-2023 02:14 PM,finance_114255.pdf,BOQ Comparative Chart,Technical,See the uploaded document,Ashwani Kumar Chaudhary,04-Aug-2023 12:57 PM,technical_114255.pdf,Er Ashwani Kumar Chaudhary EE,Internal,See the uploaded document,Ashwani Kumar Chaudhary,04-Aug-2023 01:03 PM,04-Aug-2023 01:15 PM,techsummary_114255.pdf (46.41 KB),1,362116,Arun Kumar Sharma,24-Jul-2023 12:00 PM,Rejected-Finance,Higher amount quoted,22-Sep-2023,Er Ashwani Kumar Chaudhary,Internal,See the uploaded document,Ashwani Kumar Chaudhary,22-Sep-2023 02:58 PM,finsummary_114255.pdf (45.98 KB),HP Irrigation and Public Health||IPH Circle Swan River Flood Management Project Una - HPIPH||Flood Protection Gagret - HPIPH,2023_HPIPH_76397_1,JSV/FPDG/CB/EA-I/NIT- Tender File/2023-24-3028-67,Providing and Fixing of Hydrants for Gagret Town in Tehsil Ghanari Distt Una,1.0,363007.0,Koushal General Traders,INR,"2,410,354"
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender documents and Earnest money as per NIT condition No. 11(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,362956,KOH SOLUTION,28-Jul-2023 09:58 AM,Rejected-Finance,Higher amount quoted,22-Sep-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money Exemption necessary Undertaking as per NIT condition No. 11(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,363007,Koushal General Traders,28-Jul-2023 10:30 AM,Accepted-AOC,Lower amount quoted,27-Sep-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of registration of GST, PAN and EPF as per NIT condition No.11(v)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,362967,M/S Vishal Jai Singh Dhatwalia,27-Jul-2023 09:10 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Aug-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Schedule of Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,362238,Om Parkash Govt Contrator,25-Jul-2023 04:28 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Aug-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,363016,RAHUL SHARMA,28-Jul-2023 10:51 AM,Rejected-Finance,Higher amount quoted,22-Sep-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,362901,Satvinder Singh,27-Jul-2023 04:07 PM,Rejected-Finance,Higher amount quoted,22-Sep-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,362991,SG Engineers and Consultants,27-Jul-2023 11:59 PM,Rejected-Finance,Higher amount quoted,22-Sep-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,362958,VARINDER PAL,27-Jul-2023 07:20 PM,Rejected-Finance,Higher amount quoted,22-Sep-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,362966,Vijay Kumar Chaudhary,27-Jul-2023 07:31 PM,Rejected-Finance,Higher amount quoted,22-Sep-2023,,,,,,,,,,,,,,,
