Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3
590.0,HP BSMDA Tutikandi Shimla-4,Shimla,No,Executive Engineer,HP City Transport and Bus Stand Management And Development Authority Tutikandi Shimla -4,Special repair to HRTC Workshop at Jassur Distt- Kangra HP,SH Re- Construction of damaged boundary wall surrounding workshop and residential area,Please refer Tender Document ,NA ,"11,66,469",Civil Works,NA ,Tender,120.0,90.0,Kangra,176001.0,NA ,NA ,NA ,Shimla,No ,No,Bus Stands Management and Development Authority||BSMDA Civil Wing ||OSD DM HRTC Shimla,HPBSMDA/EE/(2)2021 Tenders Vol-III,2023_BSMDA_75187_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender From,"23,350",No,fixed,,HP BSMDA Tutikandi Shimla-4,Shimla,19-Jun-2023 06:00 PM,03-Jul-2023 11:30 AM,20-Jun-2023 06:00 PM,03-Jul-2023 10:30 AM,NA ,NA ,20-Jun-2023 06:00 PM,03-Jul-2023 10:30 AM,03-Jul-2023 01:45 PM,Madan Lal Chauhan,Internal,Sunita Devi Shyam Lal Mast Ram Mehta,Madan Lal Chauhan,20-Sep-2023 12:15 PM,finsummary_112621.pdf (103.61 KB),Bus Stands Management and Development Authority||BSMDA Civil Wing ||OSD DM HRTC Shimla,2023_BSMDA_75187_1,HPBSMDA/EE/(2)2021 Tenders Vol-III,Special repair to HRTC Workshop at Jassur Distt- Kangra HP,1.0,358295.0,Sameer Bhatnagar,INR,"1,110,827",Technical,Technical Opening,Sunita Devi,03-Jul-2023 01:19 PM,technical_112621.pdf,Finance,Financial Opening,Madan Lal Chauhan,20-Sep-2023 12:05 PM,finance_112621.pdf,BOQ Comparative Chart,20-Sep-2023,"INR 1,142,166.4",90.0,Madan Lal Chauhan,20-Sep-2023 12:18 PM,5.pdf (1137.00 KB),1,358293,ARPIT CHOUDHARY,03-Jul-2023 12:13 AM,Rejected-Technical,Rejected,03-Jul-2023,Madan Lal Chauhan,Internal,Mast Ram Mehta Sunita Devi Shyam Lal,Sunita Devi,03-Jul-2023 01:44 PM,03-Jul-2023 01:45 PM,techsummary_112621.pdf (441.94 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,357917,ARUN KUMAR,01-Jul-2023 04:05 PM,Rejected-Finance,Rejected,20-Sep-2023,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,357900,BHANU PARTAP SINGH,01-Jul-2023 03:47 PM,Rejected-Finance,Rejected,20-Sep-2023,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,358141,ILLUMINATE MANAGEMENT AND GLOBAL SERVICES PVT LTD,02-Jul-2023 03:47 PM,Rejected-Finance,Rejected,20-Sep-2023,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No. and E.P.F Number, Pan Card",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,357971,JAIVIJAY PATHANIA,01-Jul-2023 05:49 PM,Rejected-Finance,Rejected,20-Sep-2023,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery tool and Plant with Ownership Document/Affidavit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,358300,Rajesh Kumar,03-Jul-2023 01:21 AM,Not Admitted-Finance,Others-EMD NOT Pledge Disqualified,20-Sep-2023,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted by the bidder is true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,357975,RAVI DUTT,03-Jul-2023 09:34 AM,Rejected-Finance,Rejected,20-Sep-2023,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,358295,Sameer Bhatnagar,03-Jul-2023 12:27 AM,Accepted-AOC,Accepted,20-Sep-2023,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,357674,sourav mahajan,02-Jul-2023 12:56 AM,Rejected-Technical,Rejected,03-Jul-2023,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,357908,vikram pathania,01-Jul-2023 05:27 PM,Rejected-Finance,Rejected,20-Sep-2023,,,,,,,
