Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
AMD,Internal,As per minutes,Robin Kumar Singh,13-Sep-2023 04:43 PM,finsummary_51486.pdf (16219.93 KB),1.0,195329.0,Agron Remedies Pvt. Ltd.,INR,8700000.0,AMD,Internal,As per minutes,Robin Kumar Singh,31-Aug-2023 04:54 PM,techsummary_51486.pdf (16219.93 KB),1,195329,Agron Remedies Pvt. Ltd.,18-Aug-2023 10:19 AM,Accepted-AOC,Match L1,13-Sep-2023 04:48 PM,Health and Family Welfare Department||Assam Medical Services Corporation Limited,2023_HFWD_32082_1,Tab Calcium Carbonate D3 14.08.2023,Tab Calcium Carbonate with Vitamin D3,Finance,OPENED,Anirban Talukdar,21-Aug-2023 04:52 PM,,BOQ Comparative Chart,13-Sep-2023,INR 2.67E+7,75.0,Robin Kumar Singh,13-Sep-2023 04:47 PM,MoMCalVitD3_F.pdf (16220.00 KB),Financial minutes,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Notice,"MD, AMSCL","O/o MD, AMSCL",Health and Family Welfare Department||Assam Medical Services Corporation Limited,Tab Calcium Carbonate D3 14.08.2023,2023_HFWD_32082_1,Yes,Limited,Supply,Goods,1.0,No,No,Not Applicable,No,No,No,Tab Calcium Carbonate with Vitamin D3,Supply of Calcium Carbonate with Vitamin D3,Please refer Tender documents. ,NA ,,Medicines,NA ,Tender,180.0,75.0,Guwahati,781026.0,NA ,NA ,NA ,"O/o MD, AMSCL",No ,No,0.0,No,fixed,,Nil,Nil,0.0,Nil,Nil,No,14-Aug-2023 02:30 PM,21-Aug-2023 04:00 PM,14-Aug-2023 03:00 PM,21-Aug-2023 02:00 PM,NA ,NA ,16-Aug-2023 02:00 PM,21-Aug-2023 02:00 PM,AOC
,,,,,,2.0,195373.0,Life Max Cancer Laboratories,INR,18000000.0,,,,,,,2,195915,APPLE FORMULATIONS PVT LTD,19-Aug-2023 02:31 PM,Rejected-Technical,Not matching,31-Aug-2023 04:54 PM,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,3,195493,Centurion Remedies Pvt. Ltd,18-Aug-2023 11:18 AM,Rejected-Technical,Not matching,31-Aug-2023 04:54 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,4,195971,CIPCO PHARMACEUTICALS,21-Aug-2023 10:43 AM,Rejected-Technical,Not matching,31-Aug-2023 04:54 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,5,196179,HEALTHY LIFE PHARMA PVT LTD,21-Aug-2023 12:14 PM,Rejected-Technical,Not matching,31-Aug-2023 04:54 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,6,195373,Life Max Cancer Laboratories,17-Aug-2023 07:11 PM,Accepted-AOC,L1,13-Sep-2023 04:48 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,7,195964,Nestor Pharmaceuticals Ltd.,19-Aug-2023 05:26 PM,Rejected-Technical,Not matching,31-Aug-2023 04:54 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,8,196180,PURE AND CURE HEALTHCARE PVT LTD,21-Aug-2023 12:01 PM,Rejected-Technical,Not matching,31-Aug-2023 04:54 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,9,196190,SHIVALIK REMEDIES PRIVATE LIMITED,21-Aug-2023 11:11 AM,Rejected-Technical,Not matching,31-Aug-2023 04:54 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,10,195629,UNICURE INDIA LTD,18-Aug-2023 01:48 PM,Rejected-Technical,Not matching,31-Aug-2023 04:54 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
