Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
25-Jun-2022 05:30 PM,30-Jul-2022 11:30 AM,25-Jun-2022 06:00 PM,30-Jul-2022 11:00 AM,NA ,NA ,25-Jun-2022 06:00 PM,30-Jul-2022 11:00 AM,18-Aug-2022 04:20 PM,1.0,Fee,.pdf,Bid Security,1.0,Corrigendum 1,Date,,CE PMU JSV Mandi,CE PMU JSV Mandi,H1 Engineering procurement construction testing commissioning trail run and operation and maintenance of various components of Augmentation of sources of various LWSS from River Beas of barsar area Barsar Constituency in Tehsil Barsar,Engineering procurement construction testing commissioning trail run and operation and maintenance of various components of Augmentation of sources of various LWSS from River Beas of barsar area Barsar Constituency in Tehsil Barsar,As per tender documents ,NA ,,Civil Works,NA ,Tender,180.0,910.0,Barsar,174305.0,Mandi ,CE PMU JSV Mandi ,05-Jul-2022 11:00 AM ,CE PMU JSV Mandi,No ,No,"1,30,75,000",No,fixed,,Nil,Nil,"2,500",Nil,Nil,No,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,907-956,2022_HPIPH_62184_1,Yes,Global Tenders,Item Rate,Works,3.0,No,No,Online,No,No,No,1.0,ICICI BANK,21-Sep-2023,"INR 2,173,029,345",910.0,Virender Thakur,21-Sep-2023 03:47 PM,AOC.pdf (898.00 KB),Award of Contract,Finance,Proceeding/Mintues of meeting,Vivek Hazri,11-Aug-2023 03:54 PM,finance_93780.pdf,BOQ Comparative Chart,Technical,Minutes,Suresh Mahajan,18-Aug-2022 04:15 PM,technical_93780.pdf,ENC P JSV Mandi,Internal,CE PMU Mandi CE HZ SE HZ SE ENCP SE PMU EE ENCP EE PMU EE Barsar Dy Controller,Suresh Mahajan,18-Aug-2022 04:17 PM,18-Aug-2022 04:20 PM,techsummary_93780.pdf (1018.85 KB),1.0,289933.0,HS Engineers and Associates,30-Jul-2022 10:23 AM,Accepted-AOC,L1,21-Sep-2023,ENC P JSV Mandi,Internal,CE PMU CE HZ SE HZ EE PMU EE ENCP EE JSD Barsar,Virender Thakur,11-Aug-2023 04:13 PM,finsummary_93780.pdf (2110.87 KB),1.0,289933.0,HS Engineers and Associates,INR,"1,382,416,777",HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2022_HPIPH_62184_1,907-956,H1 Engineering procurement construction testing commissioning trail run and operation and maintenance of various components of Augmentation of sources of various LWSS from River Beas of barsar area Barsar Constituency in Tehsil Barsar
,,,,,,,,,,,.pdf,Tender form cost,2.0,Corrigendum 2,Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,293018.0,JWIL INFRA LIMITED,29-Jul-2022 03:42 PM,Rejected-Finance,L2,11-Aug-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Copy of registration with JSV HP,3.0,Pre bid Minutes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,290150.0,Unipro Techno Infrastructure Pvt Ltd,28-Jul-2022 07:29 PM,Rejected-Finance,L3,11-Aug-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Annual turnover of last three years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Bid form as per Chapter IV of form 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Experience of having similar works during last seven years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,PAN and GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Work done certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Authorization letter regarding DSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
