Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"2,000",Nil,Nil,No,construction of lnk road plasroo to bhaged,"6.00 mtrs. Span RCC slab type culvert at Rd. 0/510, P/L solid couse way at Rd. 0/840 to 0/870 and P/L GSB and WMM",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,60.0,Near Garli,174305.0,NA ,NA ,NA ,Barsar,No ,No,15-Jul-2023 10:30 AM,20-Jul-2023 11:00 AM,15-Jul-2023 10:30 AM,20-Jul-2023 10:30 AM,NA ,NA ,15-Jul-2023 10:30 AM,20-Jul-2023 10:30 AM,21-Jul-2023 11:45 AM,PWD,4928-5027 dated11-07-2023,2023_PWD_76259_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer HPPWD Division Barsar,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form online mode,"79,400",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer,Internal,Supdt HDM DAO,Rajinder Singh,21-Jul-2023 11:33 AM,21-Jul-2023 11:45 AM,techsummary_114093.pdf (264.72 KB),PWD,2023_PWD_76259_1,4928-5027 dated11-07-2023,construction of lnk road plasroo to bhaged,16-Sep-2023,"INR 4,793,252",60.0,Rajinder Singh,16-Sep-2023 06:08 PM,Plasruwd.pdf (224.00 KB),construction of lnk road plasroo to bhaged,Executive Engineer,Internal,Supdt HDM DAO,Rajinder Singh,21-Jul-2023 12:08 PM,finsummary_114093.pdf (83.43 KB),1.0,360846.0,Parmjeet Sharma,INR,"4,699,611",Finance,financial bid opening summary,Rajinder Singh,21-Jul-2023 12:04 PM,finance_114093.pdf,BOQ Comparative Chart,1.0,361017.0,AASHISH KUMAR,19-Jul-2023 12:52 PM,Rejected-Finance,L 2,21-Jul-2023,Technical,Tech Bid opening summary,Rajinder Singh,20-Jul-2023 11:09 AM,technical_114093.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD online mode,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,360846.0,Parmjeet Sharma,18-Jul-2023 04:01 PM,Accepted-AOC,Work Completed,16-Sep-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar Work Done certificate as per SBD General Rules and Directions 26.2b (Only Completed Work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No. with latest clearance return, EPF No. with latest clearance return, Labour License,pancard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery tools and plant as per SBD with ownership documents/ Affidavit Magistrate/ Notary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive Eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.00 Lakhs or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site ar per SBD General Rules and Directions 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder must upload the working programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder/ firm may like to be provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
