Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address
SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,12-Jun-2023 12:35 PM,finsummary_107799.pdf (33.20 KB),HP SIDC Limited,2023_SIDC_71656_1,job No. 9,Construction of Veterinary Hospital at Bhambla Distt. Mandi (HP).,05-Sep-2023,"INR 6,050,908",360.0,Sushant Singh Negi,11-Sep-2023 10:50 AM,bhambla.pdf (1862.00 KB),Award letter,1.0,339660.0,KHUB RAM,INR,"6,050,908",SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,06-Jun-2023 12:01 PM,06-Jun-2023 04:00 PM,techsummary_107799.pdf (476.02 KB),Technical,Tender Summary,Sushant Singh Negi,06-Jun-2023 11:58 AM,technical_107799.pdf,1.0,340096.0,AIDANT IMPLEMENTATION PRIVATE LIMITED,02-Apr-2023 11:27 PM,Rejected-Finance,Third lowest bidder,12-Jun-2023,Finance,Financial bid,Sushant Singh Negi,12-Jun-2023 12:31 PM,finance_107799.pdf,BOQ Comparative Chart,27-Mar-2023 05:00 PM,04-Apr-2023 11:00 AM,27-Mar-2023 05:00 PM,03-Apr-2023 05:00 PM,NA ,NA ,27-Mar-2023 05:00 PM,03-Apr-2023 05:00 PM,06-Jun-2023 04:00 PM,HP SIDC Limited,job No. 9,2023_SIDC_71656_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),"5,900",Nil,Nil,No,1.0,ICICI BANK,"1,44,000",No,fixed,,Nil,Nil,Construction of Veterinary Hospital at Bhambla Distt. Mandi (HP).,Construction of Veterinary Hospital,Please refer Tender documents. ,NA ,"71,98,666",Civil Works - Buildings,NA ,Tender,120.0,360.0,Bhambla Mandi,175004.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,Executive Engineer,HPSIDC Shimla
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,340226.0,Anil Kumar,03-Apr-2023 03:50 PM,Rejected-Technical,Not qualified in the bid capacity,06-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,340213.0,Anil Kumar,03-Apr-2023 03:02 PM,Rejected-Finance,Fifth lowest bidder,12-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,339801.0,Biri SIngh,03-Apr-2023 04:52 PM,Rejected-Finance,Second lowest bidder,12-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,339660.0,KHUB RAM,31-Mar-2023 02:04 PM,Accepted-AOC,AOC,11-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,339854.0,MNBN Enterprises,31-Mar-2023 03:47 PM,Rejected-Finance,Seventh lowest bidder,12-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,339962.0,Ramesh Chand Govt. Contractor,03-Apr-2023 03:25 PM,Rejected-Finance,Forth lowest bidder,12-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,340236.0,Subham Mahajan,03-Apr-2023 02:45 PM,Rejected-Finance,Sixth lowest bidder,12-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Complete details of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turnover (last five years with breakup),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
