Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Name,Address
Er Suresh Kumar Chandel EE,Internal,"SR.DAO,SUPDT-GR-II",Naveen Singh Kaundal,18-Jul-2023 05:13 PM,finsummary_111230.pdf (783.14 KB),05-Sep-2023,"INR 2,683,355",180.0,Naveen Singh Kaundal,05-Sep-2023 05:17 PM,AOCojdu.pdf (327.00 KB),AOC,PWD,2023_PWD_74117_2,NIT No. 2667-2716 dated 24-05-2023,CConstruction of road from Jalog Gadheri road to Village Khandharti ojdu shaw seri Km. 0/00 to 1/330.,Er Suresh Kumar Chandel,Internal,"Supdt.GrII,Sr.DAO",Naveen Singh Kaundal,14-Jun-2023 05:53 PM,15-Jun-2023 11:00 AM,techsummary_111230.pdf (872.39 KB),Technical,Bid opening summary,Naveen Singh Kaundal,08-Jun-2023 05:45 PM,technical_111230.pdf,1.0,352369.0,Indu Verma,06-Jun-2023 02:13 PM,Rejected-Finance,BEING HIGHER THAN L-1 BIDDER,18-Jul-2023,Finance,Financial Bid opening summary,Naveen Singh Kaundal,16-Jun-2023 11:53 AM,finance_111230.pdf,BOQ Comparative Chart,1.0,352415.0,PREM LAL,INR,"1,950,530",1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),29-May-2023 03:00 PM,07-Jun-2023 11:00 AM,29-May-2023 03:00 PM,06-Jun-2023 06:30 PM,NA ,NA ,29-May-2023 03:00 PM,06-Jun-2023 06:30 PM,15-Jun-2023 11:00 AM,PWD,NIT No. 2667-2716 dated 24-05-2023,2023_PWD_74117_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,CConstruction of road from Jalog Gadheri road to Village Khandharti ojdu shaw seri Km. 0/00 to 1/330.,"(SH- Formation Cutting 5/7 meter single lane in Km. 0/00 to 0/510, Construction of R/walls, B/walls and wire crates for dumping structures in between Km. 0/00 to 0/510",As per Tender Documents ,NA ,"26,83,355",Civil Works - Roads,NA ,Tender,75.0,180.0,Dhami,171103.0,NA ,NA ,NA ,Shimla Rural Division HPPWD Dhami,No ,No,"54,000",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,1.0,ICICI BANK,EE Dhami,"Shimla Rural Division HP.PWD, Shimla"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,352415.0,PREM LAL,06-Jun-2023 04:08 PM,Accepted-AOC,Being L-1 bidder,05-Sep-2023,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,351666.0,SATISH KUMAR,05-Jun-2023 10:31 PM,Rejected-Finance,BEING HIGHER THAN L-1 BIDDER,18-Jul-2023,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,352400.0,SUNIL KUMAR,06-Jun-2023 03:34 PM,Rejected-Finance,BEING HIGHER THAN L-1 BIDDER,18-Jul-2023,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Skilled/Semi Skilled Tradsmen as per Clause of 19k of GCC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 22 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
