S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,M/T of Dhakriyana to Sua upto Faugala road Km. 0/00 to 6/500,"M/T of Dhakriyana to Sua upto Faugala road Km. 0/00 to 6/500 SH ROFD, Retaining structures, P/L cross drainage works, P/L GSB, WBM-II, WBM III, Metalling Tarring, V Shape drain, C/o parapets and road side signages etc in Km. 0/00 to 6/500 2nd call Un",As per tender Document ,NA ,"4,86,46,561",Civil Works,NA ,Tender,75.0,545.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,"5,000",Nil,Nil,No,26-Jun-2023 12:05 PM,07-Jul-2023 11:30 AM,26-Jun-2023 12:10 PM,06-Jul-2023 04:00 PM,NA ,NA ,26-Jun-2023 12:15 PM,06-Jul-2023 04:00 PM,13-Jul-2023 03:50 PM,"9,72,900",No,fixed,,Nil,Nil,Executive Engineer Division Kasauli,Executive Engineer HPPWD Division Kasauli,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,IFB,PWD,3944-52 dated 21.06.2023,2023_PWD_75481_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Er. R.K. Gupta,Internal,Sh Dharam Singh HDM Sh Sumit Tanwar Supdt Gr-II Sh Vikas Sharma Sr DAO,Ranjan Kumar Gupta,13-Jul-2023 03:47 PM,13-Jul-2023 03:50 PM,techsummary_113079.pdf (897.67 KB),PWD,2023_PWD_75481_1,3944-52 dated 21.06.2023,M/T of Dhakriyana to Sua upto Faugala road Km. 0/00 to 6/500,01-Sep-2023,"INR 48,646,561",545.0,Ranjan Kumar Gupta,26-Sep-2023 11:46 AM,AOC26.pdf (1912.00 KB),aoc,Er. R.K. Gupta,Internal,Sh Dharam Singh HDM Sh Sumit Tanwar Supdt Gr-II Sh Vikas Sharma Sr DAO,Ranjan Kumar Gupta,15-Jul-2023 02:44 PM,finsummary_113079.pdf (910.35 KB),1.0,359136.0,Ashok Thapa,06-Jul-2023 03:19 PM,Rejected-Finance,Being L5,15-Jul-2023,Technical,technical summary,Ranjan Kumar Gupta,13-Jul-2023 03:44 PM,technical_113079.pdf,1.0,358438.0,Gian Chand,INR,"40,694,539",Finance,financial summary,Ranjan Kumar Gupta,15-Jul-2023 02:37 PM,finance_113079.pdf,BOQ Comparative Chart
2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,359041.0,Asphalt Carpet Construction Company,06-Jul-2023 12:40 PM,Rejected-Finance,Being L4,15-Jul-2023,,,,,,,,,,,,,,,,
3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,358438.0,Gian Chand,06-Jul-2023 10:23 AM,Accepted-AOC,work in progress,26-Sep-2023,,,,,,,,,,,,,,,,
4,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,358995.0,Gurmeet Singh,06-Jul-2023 12:17 PM,Rejected-Finance,Being L2,15-Jul-2023,,,,,,,,,,,,,,,,
5,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,358917.0,Jai Singh Kashyap,06-Jul-2023 03:25 PM,Rejected-Finance,Being L3,15-Jul-2023,,,,,,,,,,,,,,,,
6,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,358753.0,lrc builders privated ltd,06-Jul-2023 09:46 AM,Rejected-Finance,Being L6,15-Jul-2023,,,,,,,,,,,,,,,,
7,Financial Details ,Payment Certificates ,"Certificates pertaining to only eligible year for bidcapacity, no tds certificates acceptable, those for which turnover uploaded for Civil Works only ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Litigation Details ,Litigation Details ,Litigation Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Man Power Details ,Details of Technical Manpower ,Details of Technical Manpower ,HP_TechnicalManPowerDetails.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Work Details ,Works Completed ,Works Completed Details ,HP_WorksCompleted.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Work Details ,Existing Commitments ,Existing Commitments Details ,HP_ExistingCommitments.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Work Details ,Works for which Bids submitted ,Works for which Bids submitted Details ,HP_BidsAlreadySubmitted.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Work Details ,Quantity of Work Done ,Quantity of Work Done Details ,HP_QuantityWorkDone.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
