Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Technical,Attached,Sanjay Katoch,01-Mar-2023 04:35 PM,technical_104153.pdf,1.0,328918.0,Arvind Sharma,24-Feb-2023 10:56 PM,Rejected-Finance,l4,08-May-2023,Finance,Attached,Sanjay Katoch,15-Mar-2023 05:05 PM,finance_104153.pdf,BOQ Comparative Chart,1.0,328735.0,Rajinder Rana,INR,"3,190,534.51",EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,08-May-2023 01:33 PM,finsummary_104153.pdf (466.09 KB),13-Sep-2023,"INR 3,190,535",30.0,Deepak Kapil,13-Sep-2023 11:52 AM,ManjhotAward.pdf (762.00 KB),Award,PWD,2023_PWD_69103_1,AMP Mandetar to T-03 to Manjhot road km 0/0 to 1/0,Annual Maintenance Plan for the year 2023-24 on various road Under Nadaun Sub Division,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,01-Mar-2023 05:21 PM,02-Mar-2023 11:30 AM,techsummary_104153.pdf (1020.00 KB),17-Feb-2023 09:00 AM,25-Feb-2023 11:00 AM,17-Feb-2023 09:00 AM,25-Feb-2023 10:30 AM,NA ,NA ,17-Feb-2023 09:00 AM,25-Feb-2023 10:30 AM,02-Mar-2023 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,1.0,ICICI BANK,"63,900",No,fixed,,Nil,Nil,EE Hamirpur,Executive Engineer HPPWD Hamirpur,PWD,AMP Mandetar to T-03 to Manjhot road km 0/0 to 1/0,2023_PWD_69103_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,000",Nil,Nil,No,Annual Maintenance Plan for the year 2023-24 on various road Under Nadaun Sub Division,"SH P/L 30mm thick Bituminous concrete Wet Mix Macadam WMM Priming coat, Tack coat and thermoplastic layer on PMGSY Road Mandetar to T-03 to Manjhot road km 0/0 to 1/0 2/0 to 3/0 7/0 to 8/0",Please refer Tender documents. ,NA ,"37,53,510",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No
,,,,,2.0,328697.0,DEEPAK JOSHI,24-Feb-2023 06:04 PM,Rejected-Finance,l2,08-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.0,328483.0,Karan Raj Singh,24-Feb-2023 04:48 PM,Rejected-Finance,l5,08-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.0,328713.0,MOHINDER PAL GOVT. CONTRACTOR,24-Feb-2023 03:58 PM,Rejected-Finance,l6,08-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.0,328855.0,MSC Roads and Bridges Private Limited,24-Feb-2023 07:59 PM,Rejected-Finance,l3,08-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6.0,328735.0,Rajinder Rana,24-Feb-2023 04:35 PM,Accepted-AOC,l1,13-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders required to have paver Machine and Hot Mini Plant in the radius of 30km for execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,having NOC from HP State Pollution Control Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
