Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
PWD,NO.PWC-WA-II- 6886-6985 dated 27.7.2022,2022_PWD_63391_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Providing Renewal coat to Lower Jhulakhri Near Gurdwara Distt. Chamba,Providing Renewal coat to Lower Jhulakhri Near Gurdwara Distt. Chamba,Please refer Tender documents. ,NA ,"6,51,600",Civil Works - Roads,NA ,Tender,75.0,30.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer, Chamba Division HPPWD Chamba",No ,No,1.0,Fee/PreQual/Technical,.pdf,BOQ,350.0,Nil,Nil,No,03-Aug-2022 04:00 PM,11-Aug-2022 11:30 AM,03-Aug-2022 04:00 PM,10-Aug-2022 05:00 PM,NA ,NA ,03-Aug-2022 04:00 PM,10-Aug-2022 05:00 PM,18-Aug-2022 11:30 AM,"13,050",No,fixed,,Nil,Nil,"Executive Engineer, Chamba Division HPPWD Chamba","Executive Engineer, Chamba Division HPPWD Chamba",1.0,ICICI BANK,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,12-Aug-2022 04:29 PM,18-Aug-2022 11:30 AM,techsummary_95586.pdf (288.11 KB),PWD,2022_PWD_63391_1,NO.PWC-WA-II- 6886-6985 dated 27.7.2022,Providing Renewal coat to Lower Jhulakhri Near Gurdwara Distt. Chamba,29-Sep-2023,"INR 651,600",30.0,Rajeev Kumar,29-Sep-2023 03:02 PM,3351-56.pdf (545.00 KB),Providing Renewal coat to Lower Jhulakhri Near Gurdwara Distt. Chamba,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,07-Nov-2022 01:15 PM,finsummary_95586.pdf (370.39 KB),1.0,294839.0,Surinder Pal Dhall,INR,"649,354",Finance,BOS,Jeet Singh Thakur,07-Nov-2022 01:00 PM,finance_95586.pdf,BOQ Comparative Chart,1.0,295181.0,Manesh Mehta,10-Aug-2022 04:08 PM,Rejected-Finance,Being s single 2nd,07-Nov-2022,Technical,BOS,Jeet Singh Thakur,12-Aug-2022 04:28 PM,technical_95586.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form only online mode through e-payment,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,294839.0,Surinder Pal Dhall,08-Aug-2022 07:59 PM,Accepted-AOC,Work completed,29-Sep-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
