Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3
"C/o Flow Irrigation Scheme Ghulanu at Village Ghulanu, G.P. Nawahi , Tehsil Sarkaghat, District Mandi (H.P.).","C/o Flow Irrigation Scheme Ghulanu at Village Ghulanu, G.P. Nawahi , Tehsil Sarkaghat, District Mandi (H.P.).",Please refer Tender documents. ,NA ,"20,35,040",Civil Works - Water Works,NA ,Tender,90.0,365.0,"Village Ghulanu, G.P. Nawahi , Tehsil Sarkaghat, D",175024.0,"O/o District Project Manager, HPCDP (Phase-II), JI ","O/o District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.). Agriculture Complex Khaliyar Mandi Distt. Mandi (H.P).  ",16-Aug-2023 11:00 AM ,"O/o District Project Manager, HPCDP (Phase-II), JI",No ,No,"38,100",No,fixed,,"District Project Manager, HPCDP (Phase-II), JICA-O","O/o District Project Manager, HPCDP (Phase-II), JI","1,500","District Project Manager, HPCDP (Phase-II), JICA-O","O/o District Project Manager, HPCDP (Phase-II), JI",No,09-Aug-2023 05:00 PM,23-Aug-2023 11:00 AM,09-Aug-2023 05:00 PM,22-Aug-2023 05:00 PM,NA ,NA ,09-Aug-2023 05:00 PM,22-Aug-2023 05:00 PM,01-Sep-2023 03:15 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Mandi,F(5)-30/2023-673dt09.08.2023,2023_HPCDP_77403_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"District Project Manager, HPCDP (Phase-II), JICA-O","O/o District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.). Agriculture Complex Khaliyar Mandi Distt. Mandi (H.P).",Balbir Singh Thakur,Internal,Pawan Kumar Sonal Gupta O.P Chauhan Pradeep Sharma Yoginder Kaushal,Sonal Gupta,05-Sep-2023 11:08 AM,finsummary_115594.pdf (241.38 KB),1.0,365715.0,Kuldeep Singh,INR,"2,087,621",Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Mandi,2023_HPCDP_77403_1,F(5)-30/2023-673dt09.08.2023,"C/o Flow Irrigation Scheme Ghulanu at Village Ghulanu, G.P. Nawahi , Tehsil Sarkaghat, District Mandi (H.P.).",19-Sep-2023,"INR 2,087,621",365.0,Sonal Gupta,19-Sep-2023 04:59 PM,Ghulanu.pdf (2340.00 KB),Letter of Acceptance,Technical,Technical Evaluation,Sonal Gupta,01-Sep-2023 03:06 PM,technical_115594.pdf,Finance,Finnacial Statement,Sonal Gupta,05-Sep-2023 10:55 AM,finance_115594.pdf,BOQ Comparative Chart,1.0,365715.0,Kuldeep Singh,10-Aug-2023 07:01 PM,Accepted-AOC,Accept,19-Sep-2023,Balbir Singh Thakur,Internal,Pawan Kumar Om Prakash Sonal Gupta O.P Chauhan Pradeep Sharma Yoginder Kaushal,Sonal Gupta,01-Sep-2023 03:09 PM,01-Sep-2023 03:15 PM,techsummary_115594.pdf (584.40 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,367801.0,MNBN Enterprises,22-Aug-2023 12:58 PM,Rejected-Finance,Reject,05-Sep-2023,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,367421.0,surender,21-Aug-2023 05:53 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Sep-2023,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactory one work indicating experience in key activities in NIT Sr. No. 3(a) vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidders Qualification Forms as indicated in NIT Sr. No. 3(a) xi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
