Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Technical,BOS,Jeet Singh Thakur,02-Feb-2023 06:24 PM,technical_101614.pdf,1.0,319247.0,Govt Contractor,01-Feb-2023 04:29 PM,Rejected-Technical,Non responsive,04-Feb-2023,Finance,BOS,Jeet Singh Thakur,15-Feb-2023 01:11 PM,finance_101614.pdf,BOQ Comparative Chart,1.0,318569.0,Manesh Mehta,INR,"7,434,021",02-Sep-2023,"INR 8,532,906",180.0,Rajeev Kumar,02-Sep-2023 02:58 PM,17415.pdf (680.00 KB),Improvement widening and laying of Paver on Link road to village Rajpura Distt. Chamba,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,15-Feb-2023 01:14 PM,finsummary_101614.pdf (134.33 KB),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,04-Feb-2023 05:18 PM,08-Feb-2023 11:30 AM,techsummary_101614.pdf (249.52 KB),PWD,2023_PWD_67423_3,No.PWC-WA-II- 16339-16438 Dt. 19.1.2023,Improvement widening and laying of Paver on Link road to village Rajpura Distt. Chamba,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form only mode through e-payment,"1,70,700",No,fixed,,Nil,Nil,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,Improvement widening and laying of Paver on Link road to village Rajpura Distt. Chamba,Improvement widening and laying of Paver on Link road to village Rajpura Distt. Chamba,Please refer Tender documents. ,NA ,"85,32,906",Civil Works,NA ,Tender,75.0,180.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,PWD,No.PWC-WA-II- 16339-16438 Dt. 19.1.2023,2023_PWD_67423_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,1.0,ICICI BANK,23-Jan-2023 10:00 AM,02-Feb-2023 11:30 AM,23-Jan-2023 10:00 AM,01-Feb-2023 05:00 PM,NA ,NA ,23-Jan-2023 10:00 AM,01-Feb-2023 05:00 PM,08-Feb-2023 11:30 AM
,,,,,2.0,318724.0,Kartik Thakur,01-Feb-2023 08:41 AM,Rejected-Finance,Being 2nd lowest,15-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,
,,,,,3.0,318569.0,Manesh Mehta,01-Feb-2023 03:58 PM,Accepted-AOC,Work completed,02-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule and directions No.20 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD form -7/8 duly signed by contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience as per clause 26.2 b of general and direction and as per schedule F ..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
