S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name
1.0,358562.0,BASANT SINGH,INR,"868,593",Finance,Financial bid summary,Prem Prakash Amrate,06-Sep-2023 12:41 PM,finance_113136.pdf,BOQ Comparative Chart,Technical,TER,Prem Prakash Amrate,17-Jul-2023 11:06 AM,technical_113136.pdf,1.0,358562.0,BASANT SINGH,03-Jul-2023 04:40 PM,Accepted-AOC,1st lowest bidder,11-Sep-2023,11-Sep-2023,"INR 868,593",90.0,Prem Prakash Amrate,11-Sep-2023 06:36 PM,AOC_75517_SCNF_71_615.pdf (768.00 KB),Work awarded to lowest bidder vide letter No.PW.CHD.CB.E-9/2023-5378-83 dated 10.08.2023,Er Rakesh Kumar,Internal,HDM and Superintendent Gr.II,Prem Prakash Amrate,11-Sep-2023 06:26 PM,finsummary_113136.pdf (248.53 KB),Er Rakesh Thakur,Internal,AE HDM and Superintendent Gr II,Prem Prakash Amrate,17-Jul-2023 11:15 AM,17-Jul-2023 11:20 AM,techsummary_113136.pdf (468.25 KB),PWD,2023_PWD_75517_1,CHD_2145-2244_3,Restoration of rain damages on Sainj Chopal Nerwa Feduj road km. 59/0 to 77/0,PWD,CHD_2145-2244_3,2023_PWD_75517_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment (indicated in Sche,Restoration of rain damages on Sainj Chopal Nerwa Feduj road km. 59/0 to 77/0,C/o wire crated R.wall in between km. R.D. 71/597.70 to 71/615),As per SBD ,NA ,"9,70,499",Civil Works - Roads,NA ,Rate Contract,90.0,90.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,Executive Engineer,HPPWD Division Chopal,500.0,Nil,Nil,Yes,26-Jun-2023 06:00 PM,04-Jul-2023 11:00 AM,26-Jun-2023 06:00 PM,03-Jul-2023 05:00 PM,NA ,NA ,26-Jun-2023 06:00 PM,03-Jul-2023 05:00 PM,17-Jul-2023 11:20 AM,"19,500",Yes,fixed,,Nil,Nil,1.0,ICICI BANK
,,,,,,,,,,,,,,,,2.0,357786.0,BHARAT BHUSHAN,01-Jul-2023 03:59 PM,Rejected-Technical,Non responsive,17-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration/GST/PAN/EPF and follow the other all conditions indicated in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,3.0,358323.0,KULBHUSHAN CHAUHAN,03-Jul-2023 12:55 PM,Rejected-Finance,2nd lowest bidder,11-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery, Tool and Plant etc required as per nature of work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,358448.0,Manjul Kumar Govt. Contractor,03-Jul-2023 01:02 PM,Rejected-Finance,3rd lowest bidder,11-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Ownership of machinery/Affidavit/lease agreement for hired machinery and Shuttering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual turnover dully certified from CA clause 28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail/undertaking regarding arbitration/litigation cases for the last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Duly filled and signed form No 7/8 General Rule and Direction with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
