Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
500.0,Nil,Nil,No,"35,550",No,fixed,,Nil,Nil,1.0,ICICI BANK,25-Aug-2023 04:00 PM,01-Sep-2023 11:00 AM,25-Aug-2023 04:00 PM,01-Sep-2023 10:00 AM,NA ,NA ,25-Aug-2023 04:00 PM,01-Sep-2023 10:00 AM,02-Sep-2023 01:15 PM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,PWD,Nagrota 25,2023_PWD_77968_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Special repair to 500 Bedded Hospital in Dr RPGMC at Tanda in Distt Kangra,Special repair to 500 Bedded Hospital in Dr RPGMC at Tanda in Distt Kangra(SH-Dismantling tile flooring brick work providing and laying tile flooring aluminium work and other civil work etc in extension of trauma centre unit 2nd floor near O.T,Please refer Tender documents. ,NA ,"17,76,973",Civil Works,NA ,Tender,120.0,90.0,Tanda,176056.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,Finance,SUM,Suresh Kumar Walia,05-Sep-2023 11:20 AM,finance_116380.pdf,BOQ Comparative Chart,1.0,369304.0,Tilak Painter,INR,"1,222,024",1.0,369255.0,Ms VIRENDER SINGH,31-Aug-2023 05:33 PM,Rejected-Finance,Lowest 4,05-Sep-2023,Technical,SUM,Suresh Kumar Walia,02-Sep-2023 01:06 PM,technical_116380.pdf,Executive Engineer,Internal,AE Supdt HDM DAo,Suresh Kumar Walia,02-Sep-2023 01:07 PM,02-Sep-2023 01:15 PM,techsummary_116380.pdf (941.90 KB),PWD,2023_PWD_77968_1,Nagrota 25,Special repair to 500 Bedded Hospital in Dr RPGMC at Tanda in Distt Kangra,13-Sep-2023,"INR 1,776,973",90.0,Suresh Kumar Walia,14-Sep-2023 11:36 AM,Award.pdf (272.00 KB),Award,Executive Engineer,Internal,AE Supdt HDM DAO,Suresh Kumar Walia,05-Sep-2023 11:23 AM,finsummary_116380.pdf (195.38 KB)
,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,369128.0,Puneet Khosla,30-Aug-2023 02:32 PM,Rejected-Finance,Lowest 3,05-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,369344.0,Rajesh Kumar,01-Sep-2023 08:08 AM,Rejected-Finance,Lowest 5,05-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,369034.0,Sameer Bhatnagar,31-Aug-2023 08:48 PM,Rejected-Finance,Lowest 2,05-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,369304.0,Tilak Painter,31-Aug-2023 05:55 PM,Accepted-AOC,Award,14-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,368831.0,VENYA CONSTRUCTIONS AND SUPPLIER,01-Sep-2023 09:29 AM,Rejected-Finance,Lowest6,05-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,369273.0,Vijay Kumar,31-Aug-2023 05:35 PM,Rejected-Finance,Lowest7,05-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
