S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
1.0,329108.0,SANJAY GARG,INR,"3,573,961",Finance,Bid opening summary,Naveen Singh Kaundal,14-Mar-2023 12:15 PM,finance_104650.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Naveen Singh Kaundal,27-Feb-2023 05:20 PM,technical_104650.pdf,1.0,328494.0,AKSHAY DHILLON,24-Feb-2023 01:54 PM,Rejected-Finance,L-3,29-Mar-2023,04-Sep-2023,"INR 3,573,961",180.0,Naveen Singh Kaundal,04-Sep-2023 03:02 PM,AOCsanajaygarg.pdf (312.00 KB),Award of contract,Er Suresh Kumar Chandel,Internal,"Sh Rajesh Chauhan DAO, Sh Padam Bahadur Supdt.Gr-II,",Naveen Singh Kaundal,29-Mar-2023 06:17 PM,finsummary_104650.pdf (487.41 KB),Er Suresh Kumar Chandel,Internal,"Sh Rajesh Chauhan DAO, Sh Padam Bahadur Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,13-Mar-2023 04:43 PM,14-Mar-2023 11:00 AM,techsummary_104650.pdf (558.42 KB),PWD,2023_PWD_69342_1,25497-99 dt. 14.02.2023,Construction of Road from Okhru to Nehra via Keru Km. 0/00 to 3/00,1.0,ICICI BANK,Executive Engineer,Shimla Rural Division HPPWD Dhami,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"1,27,700",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,Construction of Road from Okhru to Nehra via Keru Km. 0/00 to 3/00,"Formation Cutting in Km. 0/435 to 1/860, C/o R-walls and B-Walls at various RDs and C/o 900 mm dia RCC Hume Pipe Culvert at Rd. 0/948 etc. )",as per tender documents ,NA ,"63,82,075",Civil Works - Roads,NA ,Tender,75.0,180.0,Dhami,171103.0,NA ,NA ,NA ,Shimla Rural Division HPPWD Dhami,No ,No,21-Feb-2023 04:20 PM,27-Feb-2023 11:00 AM,21-Feb-2023 04:20 PM,26-Feb-2023 06:00 PM,NA ,NA ,21-Feb-2023 04:20 PM,26-Feb-2023 06:00 PM,14-Mar-2023 11:00 AM,PWD,25497-99 dt. 14.02.2023,2023_PWD_69342_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,2.0,329095.0,DEVENDER KUMAR SHARMA,25-Feb-2023 03:50 PM,Rejected-Technical,Non-responsive,13-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,329232.0,Kapoor Construction,26-Feb-2023 11:21 AM,Rejected-Finance,L-2,29-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,329108.0,SANJAY GARG,25-Feb-2023 03:46 PM,Accepted-AOC,Being L-1 bidder,04-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5.0,328988.0,SHEHWAJ KHAN,26-Feb-2023 02:39 PM,Rejected-Technical,Non-responsive,13-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand as Per General Rule 24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6.0,327566.0,Vidya Dutt Sharma,25-Feb-2023 09:51 AM,Rejected-Technical,Non-responsive,13-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 22 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report As Per General Rules 1.1 A (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No. as per General Rules 1.2B(a)(I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
