Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,HPSEBL/AED/NIT-63/2023-24,2023_HPSEB_77649_1,Yes,Limited,Percentage,Works,2.0,No,No,Online,No,No,No,17-Aug-2023 04:00 PM,25-Aug-2023 11:00 AM,17-Aug-2023 04:30 PM,24-Aug-2023 03:00 PM,NA ,NA ,17-Aug-2023 04:30 PM,24-Aug-2023 03:00 PM,02-Sep-2023 12:30 PM,Sr. Executive Engineer,ED Arki,1.0,ICICI BANK,Providing and fixing of chain link fencing under ESD Darlaghat,Providing and fixing of chain link fencing under ESD Darlaghat,Please refer Tender documents. ,NA ,"3,42,390",Electrical Works,NA ,Tender,180.0,30.0,ED Arki,173208.0,NA ,NA ,NA ,ED Arki,No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document fee and earnest money receipt,590.0,Nil,Nil,No,"3,425",No,fixed,,Nil,Nil,11-Sep-2023,"INR 342,390",30.0,Devender Koundal,11-Sep-2023 12:59 PM,Award83.pdf (4259.00 KB),copy of award,Finance,Financially opened,Devender Koundal,02-Sep-2023 02:06 PM,finance_115975.pdf,BOQ Comparative Chart,Technical,Technical open,Devender Koundal,25-Aug-2023 12:13 PM,technical_115975.pdf,Sr. Executive Engineer,Internal,"Sr.Executive Engineer,AEESD,HPSEBL,DArlaghat, Divisional Accountant",Devender Koundal,02-Sep-2023 12:14 PM,02-Sep-2023 12:30 PM,techsummary_115975.pdf (325.83 KB),1.0,368002.0,ABS ENTERPRISES,23-Aug-2023 12:56 PM,Rejected-Finance,High rates,11-Sep-2023,Sr. Executive Engineer,Internal,"Sr. executive Engineer, AEESD HPSEBL,Darlaghat, Divisional Accountant.",Devender Koundal,11-Sep-2023 12:49 PM,finsummary_115975.pdf (325.83 KB),HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,2023_HPSEB_77649_1,HPSEBL/AED/NIT-63/2023-24,Providing and fixing of chain link fencing under ESD Darlaghat,1.0,367993.0,VINAY KUMAR SHARMA,INR,"342,389"
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Technical and comm.work Experience of similar nature of work as per clause no 1.01 and 1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,368065.0,rajinder singh,23-Aug-2023 04:17 PM,Rejected-Finance,High rates,11-Sep-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Class -A contractor Licence as per clause 1.01.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,367993.0,VINAY KUMAR SHARMA,23-Aug-2023 12:26 PM,Accepted-AOC,Lowest rates,11-Sep-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of net worth, avg. financial turnover, liquid asset as per clause 1.02.2,1.02.3,1.02.4 fromCA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Bidder shall satisfy Bid capacity as clause 1.02.5 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,In case a bid is submitted by a joint venture all the qualification should be full as clause1.02.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate from banker as per clause 2.01.1 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Litigation history as per clause 2.01.4 ,Non blacklisting Affidavit,No deviation certi.as per Bid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No change of ownership (ITB vol-1,Sec-IIclause2.3.2 and letter of undertaking/Bid validity as per SB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST and EPF registration,pan,self undertake of completion of work and studied all term and condition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
