Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.2,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
20-Nov-2023,"INR 1,416,072",365.0,Sanjeev Thakur,30-Nov-2023 12:26 PM,AL.pdf (766.00 KB),Award letter,EE,Internal,SUPDTT HDM DAO,Sanjeev Thakur,08-Aug-2023 03:20 PM,finsummary_113161.pdf (479.64 KB),EE,Internal,HDM SUPDTT DAO,Sanjeev Thakur,05-Aug-2023 04:19 PM,08-Aug-2023 10:30 AM,techsummary_113161.pdf (1155.74 KB),PWD,2023_PWD_75543_1,ED.II.GA.Tender/23-24-1775-76 dated 27.06.2023,Providing staff for running operating and maiantenance of VRV and Central heating system in new OPD and trauma block at IGMC Shimla for one year,Technical,3 No. bids have been received for the tender on e-tender portal opened today on dated 12-07-2023 for the technical part.,Sanjeev Thakur,12-Jul-2023 02:41 PM,technical_113161.pdf,1.0,359729.0,KHARBANDA ELECTRICALS,11-Jul-2023 04:52 PM,Accepted-AOC,L1 bidder,30-Nov-2023,Finance,2 No. bidders participated in the above said tender opened for financial part on dated 08-08-2023 in which M/S Kharbanda Electricals have been found L1.,Sanjeev Thakur,08-Aug-2023 03:12 PM,finance_113161.pdf,BOQ Comparative Chart,1.0,359729.0,KHARBANDA ELECTRICALS,INR,"1,266,676",1.0,corrigendum,Technical Bid,,PWD,ED.II.GA.Tender/23-24-1775-76 dated 27.06.2023,2023_PWD_75543_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,XEN Elect divn No II,XEN Elect Division No II HPPWD Shimla-1,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment copy of tender form and EMD,"28,400",No,fixed,,EE Elect Divn No II,Shimla-1,Providing staff for running operating and maiantenance of VRV and Central heating system in new OPD and trauma block at IGMC Shimla for one year,Providing staff,Please refer Tender documents. ,NA ,"14,16,072",Electrical Works,NA ,Tender,120.0,365.0,IGMC,171001.0,NA ,NA ,NA ,Elect. Division no II HPPWD Shimla-2,No ,No,28-Jun-2023 05:00 PM,12-Jul-2023 11:30 AM,28-Jun-2023 05:30 PM,11-Jul-2023 05:00 PM,NA ,NA ,28-Jun-2023 05:30 PM,11-Jul-2023 05:00 PM,08-Aug-2023 10:30 AM,1.0,ICICI BANK,500.0,EE Elect Divn no II,Shimla-1,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,359328.0,REVOLUTION,08-Jul-2023 12:49 PM,Rejected-Technical,Work done attached by the bidder is not similar kind of work.,05-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,359836.0,UNITECH ENGINEERS,11-Jul-2023 02:13 PM,Rejected-AOC,L2 bidder,30-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking affidavit of true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,valid electrical enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,current work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TQC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
