Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1.1,Corrigendum Title,Corrigendum Type,View
29-Nov-2023,"INR 72,650",30.0,Devender Koundal,29-Nov-2023 12:15 PM,A121.pdf (3015.00 KB),LOA,Finance,Financial open,Devender Koundal,25-Nov-2023 02:50 PM,finance_120351.pdf,BOQ Comparative Chart,Technical,technically opened,Devender Koundal,17-Nov-2023 12:03 PM,technical_120351.pdf,Sr. Executive Engineer,Internal,"Sr. Executive Engineer, Divisional accountant,AE ESD Darla,",Devender Koundal,25-Nov-2023 01:16 PM,25-Nov-2023 02:00 PM,techsummary_120351.pdf (502.18 KB),1.0,382683.0,NAROTAM RAM,06-Nov-2023 02:23 PM,Accepted-AOC,Lowest bidder,29-Nov-2023,HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,2023_HPSEB_80857_1,HPSEBL/AED/NIT-118/2023-24,"providing 3-phase LT extension to Devi-Dhar Temple at Serighat from existing 100KVA S/Stn. Serighat in Electrical Section Sayri under Electrical Sub-Division, HPSEBL,Kunihar",1.0,382683.0,NAROTAM RAM,INR,"72,650",Sr. Executive Engineer,Internal,"Sr. Executive Engineer,Divisional accountant,A.E Darlaghat",Devender Koundal,28-Nov-2023 04:36 PM,finsummary_120351.pdf (502.18 KB),HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,HPSEBL/AED/NIT-118/2023-24,2023_HPSEB_80857_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Sr. Executive engineer,"Sr. Executive Engineer, ED, HPSEBL Arki",1.0,ICICI BANK,"providing 3-phase LT extension to Devi-Dhar Temple at Serighat from existing 100KVA S/Stn. Serighat in Electrical Section Sayri under Electrical Sub-Division, HPSEBL,Kunihar","providing 3-phase LT extension to Devi-Dhar Temple at Serighat from existing 100KVA S/Stn. Serighat in Electrical Section Sayri under Electrical Sub-Division, HPSEBL,Kunihar",Please refer Tender documents. ,NA ,"82,556",Electrical Works,NA ,Tender,180.0,30.0,Under ED Arki,173208.0,NA ,NA ,NA ,ED Arki,No ,No,590.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document fee and earnest money receipt,31-Oct-2023 04:00 PM,17-Nov-2023 11:00 AM,31-Oct-2023 04:30 PM,16-Nov-2023 03:00 PM,NA ,NA ,31-Oct-2023 04:30 PM,16-Nov-2023 03:00 PM,25-Nov-2023 02:00 PM,825.0,No,fixed,,Nil,Nil,1.0,Extension of date,Date,
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,384591.0,SHIVA ELECTRICAL & HARDWARE,16-Nov-2023 01:43 PM,Rejected-Finance,Higher rates,28-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical and comm.work Experience of similar nature of work as per clause no 1.01 and 1.02,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,384564.0,VINOD KUMAR PANWAR GOVT CONTRACTOR,16-Nov-2023 01:09 PM,Rejected-Finance,Higher rates,28-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Class -A contractor Licence as per clause 1.01.2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of net worth, avg. financial turnover, liquid asset as per clause 1.02.2,1.02.3,1.02.4 fromCA",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Bidder shall satisfy Bid capacity as clause 1.02.5 of SBD,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,In case a bid is submitted by a joint venture all the qualification should be full as clause1.02.6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate from banker as per clause 2.01.1 of SBD,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Litigation history as per clause 2.01.4 ,Non blacklisting Affidavit,No deviation certi.as per Bid",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No change of ownership (ITB vol-1,Sec-IIclause2.3.2 and letter of undertaking/Bid validity as per SB",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST and EPF registration,pan,self undertake of completion of work and studied all term and condition",,,,,,,,,,,,,,,,,,,
