Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Name,Address,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description
EE Shillai,Internal,"AE Shilali, HDM, Supdt TA",Pramod Upreti,26-Mar-2022 12:43 PM,finsummary_86955.pdf (127.56 KB),21-Nov-2023,"INR 616,338",90.0,Vijay Kumar Aggarwal,21-Nov-2023 01:40 PM,DocScanner.pdf (465.00 KB),AOC,PWD,2022_PWD_57623_1,TA22400-22499dt25-2-2022,Construction of link road from Nanidhar to Shankholi km 0/0,EE SHillai,Internal,"AE Shillai, hdm, supdt.",Pramod Upreti,21-Mar-2022 12:11 PM,21-Mar-2022 02:00 PM,techsummary_86955.pdf (968.56 KB),Finance,financial summary,Pramod Upreti,22-Mar-2022 05:42 PM,finance_86955.pdf,BOQ Comparative Chart,1.0,269667.0,M/S VIKRAM SINGH,INR,"431,437",Technical,summary,Pramod Upreti,21-Mar-2022 12:08 PM,technical_86955.pdf,1.0,269667.0,M/S VIKRAM SINGH,13-Mar-2022 07:44 PM,Accepted-AOC,Work completed,21-Nov-2023,EE Shillai,Executive Enigeer HPPWD Shillai,1.0,ICICI BANK,PWD,TA22400-22499dt25-2-2022,2022_PWD_57623_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of link road from Nanidhar to Shankholi km 0/0,"Construction of link road from Nanidhar to Shankholi km 0/0 to 2/600(SH-Breast wall at RD 0/840 to 0/865, 1/265 to 1/285 and 1/400 to 1/420",please refer to tender document ,NA ,"6,16,338",Civil Works - Roads,NA ,Rate Contract,75.0,90.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,07-Mar-2022 06:00 PM,14-Mar-2022 12:30 PM,07-Mar-2022 06:00 PM,14-Mar-2022 09:00 AM,NA ,NA ,07-Mar-2022 06:00 PM,14-Mar-2022 09:00 AM,21-Mar-2022 02:00 PM,350.0,Nil,Nil,No,"12,350",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,269219.0,NETTER SINGH,14-Mar-2022 08:23 AM,Rejected-Finance,Not lowest,26-Mar-2022,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,269181.0,RAM BHAJ,14-Mar-2022 08:16 AM,Rejected-Finance,Not lowest,26-Mar-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,269179.0,Saroop Singh Chauhan,13-Mar-2022 12:17 PM,Rejected-Finance,Not lowest,26-Mar-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Permanent account number and GST
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq
