S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.2,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1.1,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
1.0,384531.0,Munish Kumar,16-Nov-2023 12:13 PM,Accepted-AOC,Lowest bidder,29-Nov-2023,Sr. Executive Engineer,Internal,"Sr. Executive Engineer, Divisional accountant,AE ESD Darla,",Devender Koundal,25-Nov-2023 01:14 PM,25-Nov-2023 02:00 PM,techsummary_120344.pdf (502.18 KB),Technical,technicallyopened,Devender Koundal,17-Nov-2023 11:54 AM,technical_120344.pdf,Finance,Financial Bid open,Devender Koundal,25-Nov-2023 02:45 PM,finance_120344.pdf,BOQ Comparative Chart,29-Nov-2023,"INR 57,097",30.0,Devender Koundal,29-Nov-2023 12:02 PM,A120.pdf (3234.00 KB),Copy of award,HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,2023_HPSEB_80850_1,HPSEBL/AED/NIT-117/2023-24,"providing LT extension and Augmentation (1-phase to 3-phase) to village Khali,Chalai,Paniyar from existing 63KVA ,11/0.4 KV S/Stn., Kanswala in (E) Section Darlaghat,, under Electrical Sub-Division, HPSEBL, Darlaghat.",1.0,384531.0,Munish Kumar,INR,"57,097",Sr. Executive Engineer,Internal,"Sr. Executive Engineer,Divisional accountant,A.E Darlaghat",Devender Koundal,28-Nov-2023 04:34 PM,finsummary_120344.pdf (502.18 KB),1.0,Extension of date,Date,,590.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Tender Document fee and earnest money receipt,671.0,No,fixed,,Nil,Nil,Sr. Executive engineer,"Sr. Executive Engineer, ED, HPSEBL, Arki",HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,HPSEBL/AED/NIT-117/2023-24,2023_HPSEB_80850_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,31-Oct-2023 04:00 PM,17-Nov-2023 11:00 AM,31-Oct-2023 04:30 PM,16-Nov-2023 03:00 PM,NA ,NA ,31-Oct-2023 04:30 PM,16-Nov-2023 03:00 PM,25-Nov-2023 02:00 PM,"providing LT extension and Augmentation (1-phase to 3-phase) to village Khali,Chalai,Paniyar from existing 63KVA ,11/0.4 KV S/Stn., Kanswala in (E) Section Darlaghat,, under Electrical Sub-Division, HPSEBL, Darlaghat.","providing LT extension and Augmentation (1-phase to 3-phase) to village Khali,Chalai,Paniyar from existing 63KVA ,11/0.4 KV S/Stn., Kanswala in (E) Section Darlaghat, , under Electrical Sub-Division, HPSEBL, Darlaghat.",Please refer Tender documents. ,NA ,"67,175",Electrical Works,NA ,Tender,180.0,30.0,Under ED Arki,173208.0,NA ,NA ,NA ,ED Arki,No ,No
2.0,384556.0,NAROTAM RAM,16-Nov-2023 12:52 PM,Rejected-Finance,Higher rates,28-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Technical and comm.work Experience of similar nature of work as per clause no 1.01 and 1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,382897.0,SHIVA ELECTRICAL & HARDWARE,07-Nov-2023 11:06 AM,Rejected-Finance,Higher rates,28-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Class -A contractor Licence as per clause 1.01.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,384614.0,VINAY KUMAR SHARMA,16-Nov-2023 02:26 PM,Rejected-Finance,Higher rates,28-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of net worth, avg. financial turnover, liquid asset as per clause 1.02.2,1.02.3,1.02.4 fromCA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Bidder shall satisfy Bid capacity as clause 1.02.5 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,In case a bid is submitted by a joint venture all the qualification should be full as clause1.02.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate from banker as per clause 2.01.1 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Litigation history as per clause 2.01.4 ,Non blacklisting Affidavit,No deviation certi.as per Bid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No change of ownership (ITB vol-1,Sec-IIclause2.3.2 and letter of undertaking/Bid validity as per SB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST and EPF registration,pan,self undertake of completion of work and studied all term and condition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
