Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
26-Aug-2023 05:05 PM,11-Sep-2023 11:00 AM,26-Aug-2023 05:05 PM,09-Sep-2023 06:00 PM,NA ,NA ,26-Aug-2023 05:05 PM,09-Sep-2023 06:00 PM,26-Sep-2023 11:30 AM,1.0,ICICI BANK,SE dharampur,SE dharampur HPPWD Dharampur,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of the Receipt Bid Security cost of the bidding documents. clause 16.2 of ITB,PWD,PW-SE-Dpur-WS-3093,2023_PWD_77957_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"5,91,500",No,fixed,,Nil,Nil,C/O Balance work Tour Khola to Chamb Road KM 0/00 to 04/650,"Formation Cutting, Metalling and tarring, C/O Hume pie culvert, R/wall, P/L GSB, WMM, SDBC, CC pavement, Parapets for essential reaches, Road side drain, CD works and five year routine maintenance in KM 0/0 to 04/650",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,75.0,365.0,t ihra(dharampur0,175040.0,NA ,NA ,NA ,dharampur,No ,No,1.0,370133.0,Balbir Singh,INR,"29,568,752",Finance,comparative,Yogesh Chander,19-Oct-2023 02:26 PM,,BOQ Comparative Chart,1.0,370133.0,Balbir Singh,09-Sep-2023 07:19 AM,Accepted-AOC,award,09-Nov-2023,Technical,technical,Yogesh Chander,20-Sep-2023 05:25 PM,technical_116414.pdf,PWD,2023_PWD_77957_1,PW-SE-Dpur-WS-3093,C/O Balance work Tour Khola to Chamb Road KM 0/00 to 04/650,SE,Internal,"EE(D), AE(D), Accountant, Supdt-Gr-I, CHD",Yogesh Chander,20-Sep-2023 05:35 PM,26-Sep-2023 11:30 AM,techsummary_116414.pdf (1325.75 KB),SE,Internal,"EE design, AE Design, Accountant, Supdt.",Yogesh Chander,19-Oct-2023 02:35 PM,finsummary_116414.pdf (2713.32 KB),09-Nov-2023,"INR 29,568,752",365.0,Yogesh Chander,09-Nov-2023 03:20 PM,awardtourkhola.pdf (791.00 KB),award letter
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,"I. Form of bid for Part I,II of the bid, as per format given in section 6 (to be submitted online)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,370380.0,Binwa construction Private Limited,08-Sep-2023 04:17 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration certificate, EPF, GST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,370199.0,Nveen Sharma,08-Sep-2023 02:46 PM,Rejected-Finance,rejected (refund),19-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,"Scanned copies of the Certificates showing details of similar nature of works done, work in hand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,370806.0,Pardeed Kumar,09-Sep-2023 12:36 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of not having more than 2 works above 1.00 crore in hand in all state /NABARD work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,370314.0,Rajinder Rana,06-Sep-2023 01:24 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Machineries owned/brought on hire/ lease (Clause 4.4of ITB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,370445.0,SUNIL KUMAR,08-Sep-2023 09:26 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover Certificate from Civil work duly issued by CA for last five financial years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical personnel proposed to be employed as per clause 4.4B(b) (ii) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Credit facility duly issued by the bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,detail of any litigation or arbitration case in which bidder is involved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
