Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1.1,Corrigendum Title,Corrigendum Type,View
Technical,2 nos of bids received,Virender Rajta,30-May-2023 11:37 AM,technical_110374.pdf,1.0,348253.0,AJAY SAUHTA,23-May-2023 08:54 AM,Accepted-AOC,ok,14-Nov-2023,Finance,2 nos of bids opened,Virender Rajta,30-May-2023 04:21 PM,finance_110374.pdf,BOQ Comparative Chart,1.0,348253.0,AJAY SAUHTA,INR,"1,187,629",14-Nov-2023,"INR 1,187,629",90.0,Virender Rajta,14-Nov-2023 04:51 PM,15.pdf (699.00 KB),Executive Engineer,Internal,,Virender Rajta,30-May-2023 04:54 PM,finsummary_110374.pdf (977.29 KB),Executive Engineer,Internal,,Virender Rajta,30-May-2023 11:53 AM,30-May-2023 01:00 PM,techsummary_110374.pdf (954.49 KB),PWD,2023_PWD_73435_4,JD/E Tender/2023-24-1078-80 dt.11-5-2023,M.T of Link to village Shamot Km 0.0 to 1.0 SH PL WBM G II and Tarring work at RD 0.300 to 0.500 SCSP,PWD,JD/E Tender/2023-24-1078-80 dt.11-5-2023,2023_PWD_73435_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,17-May-2023 02:00 PM,27-May-2023 11:00 AM,17-May-2023 02:10 PM,26-May-2023 06:00 PM,NA ,NA ,17-May-2023 02:30 PM,26-May-2023 06:00 PM,30-May-2023 01:00 PM,EXECUTIVE ENGINEER JUBBAL,HP PWD Jubbal,1.0,Fee/PreQual/Technical,.pdf,Enlistment of contractor,M.T of Link to village Shamot Km 0.0 to 1.0 SH PL WBM G II and Tarring work at RD 0.300 to 0.500 SCSP,M.T of Link to village Shamot Km 0.0 to 1.0 SH PL WBM G II and Tarring work at RD 0.300 to 0.500 SCSP,Please refer Tender documents. ,NA ,"11,31,075",Civil Works,tarring ,Tender,60.0,90.0,JUBBAL,171205.0,NA ,NA ,NA ,JUBBAL,No ,No,"22,622",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,500.0,Nil,Nil,Yes,1.0,Extension of date,Date,
,,,,,2.0,349017.0,POOJA CHAUHAN,24-May-2023 06:08 PM,Rejected-Finance,ok,30-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender and Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affadavits True and Correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Affadavits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,detail of Machineries tools and Plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar type of Work done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
