S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
1.0,371837.0,VINAY KUMAR SHARMA,INR,"749,059",HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,2023_HPSEB_78713_1,HPSEBL/BED/DB-Tender JOB.15,HPSEBL/BED/DB-Tender JOB.15,Er. Deepak Verma,Internal,Er. Trilok Sharma (AEE) Sh. Luv Kumar (Supdt. DA),Deepak Verma,01-Nov-2023 01:56 PM,finsummary_117394.pdf (510.26 KB),1.0,371690.0,ABS ENTERPRISES,12-Sep-2023 08:46 PM,Rejected-Finance,Rates on higher side,01-Nov-2023,Er. Deepak Verma,Internal,Er. Trilok Sharma (AEE) Sh. Luv Kumar (Supdt. DA),Deepak Verma,28-Sep-2023 01:14 PM,28-Sep-2023 03:00 PM,techsummary_117394.pdf (446.58 KB),01-Nov-2023,"INR 749,059",45.0,Deepak Verma,01-Nov-2023 02:58 PM,Awardjobno15.pdf (4166.00 KB),Award of work,Technical,Technical Bid Opening Summery,Deepak Verma,28-Sep-2023 01:10 PM,technical_117394.pdf,Finance,Financial Bid Opening Summery,Deepak Verma,01-Nov-2023 12:52 PM,,BOQ Comparative Chart,"7,545",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Detail of EMD and Tender fees,HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,HPSEBL/BED/DB-Tender JOB.15,2023_HPSEB_78713_1,Yes,Limited,Turn-key,Works,2.0,No,No,Online,No,No,No,Er. Deepak Verma,"Sr. Executive Engineer, Electrical Division, HPSEBL Baddi",590.0,Nil,Nil,No,1.0,ICICI BANK,11-Sep-2023 05:00 PM,18-Sep-2023 02:00 PM,12-Sep-2023 09:00 AM,18-Sep-2023 11:00 AM,NA ,NA ,12-Sep-2023 10:00 AM,18-Sep-2023 11:00 AM,28-Sep-2023 03:00 PM,HPSEBL/BED/DB-Tender JOB.15,E Tendering on turnkey basis for providing SOP to LWSS Badhota at Village Angi in E section Chandi under Electrical Sub Division HPSEBL Goela Name of Scheme Deposit,A Class Electrical License with Chief Electrical Inspector ,NA ,"7,54,490",Electrical Works,HT DTR  ,Tender,180.0,45.0,Baddi,173205.0,NA ,NA ,NA ,Baddi,No ,No
,,,,,,,,,,,,,,,2.0,371542.0,rajinder singh,13-Sep-2023 10:26 AM,Rejected-Finance,Rates on higher side,01-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License with Chief Electrical Inspector,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3.0,371837.0,VINAY KUMAR SHARMA,13-Sep-2023 02:48 PM,Accepted-AOC,Award of work,01-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capacity/turnover certificate with CA Certified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate/Completion Certificate as per SBD Volume I Section III Clause No 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit for Blacklisting/Change of Ownership/Litigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPFO No/ESI No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint Venture if Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
