Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
17-Nov-2023,"INR 768,507",90.0,Prem Prakash Amrate,29-Jan-2024 03:39 PM,AOC_79544_1_SanjeevK.pdf (174.00 KB),Awarded work has been completed.,Er Rakesh Kumar,Internal,AE HDM and Supdt Gr II,Prem Prakash Amrate,04-Nov-2023 03:37 PM,finsummary_118546.pdf (468.25 KB),Er Rakesh Kumar,Internal,AE HDM and Superintendent Gr II,Prem Prakash Amrate,19-Oct-2023 02:02 PM,20-Oct-2023 11:00 AM,techsummary_118546.pdf (468.25 KB),PWD,2023_PWD_79544_1,Chopal_Kumbra_2,R/R damages on Chopal Kumbra road km. 0/0 to 18/300,Technical,TER,Prem Prakash Amrate,19-Oct-2023 01:49 PM,technical_118546.pdf,1.0,375805.0,AKHIL CHAUHAN,03-Oct-2023 06:13 PM,Rejected-Finance,Due to 2nd lowest bidder.,04-Nov-2023,Finance,BoQ summary,Prem Prakash Amrate,04-Nov-2023 03:13 PM,finance_118546.pdf,BOQ Comparative Chart,1.0,376215.0,SANJEEV KUMAR GOVT. CONTRACTOR,INR,"768,507",29-Sep-2023 05:00 PM,06-Oct-2023 11:00 AM,29-Sep-2023 05:00 PM,05-Oct-2023 05:00 PM,NA ,NA ,29-Sep-2023 05:00 PM,05-Oct-2023 05:00 PM,20-Oct-2023 11:00 AM,1.0,ICICI BANK,R/R damages on Chopal Kumbra road km. 0/0 to 18/300,C/o R/wall at R.D. 4/510 to 4/530,As per SBD ,NA ,"7,32,051",Civil Works - Roads,NA ,Rate Contract,90.0,90.0,Chopal,171211.0,NA ,NA ,NA ,Divisional office,No ,No,500.0,Nil,Nil,Yes,Executive Engineer,Chopal Division HPPWD Chopal,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment (indicated in Sche,PWD,Chopal_Kumbra_2,2023_PWD_79544_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"15,000",Yes,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,376215.0,SANJEEV KUMAR GOVT. CONTRACTOR,05-Oct-2023 03:26 PM,Accepted-AOC,Responsive,30-Jan-2024,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration/GST/PAN/EPF and follow the other all conditions indicated in SBD,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery, Tool and Plant etc required as per nature of work.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Ownership of machinery/Affidavit/lease agreement for hired machinery and Shuttering,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual turnover dully certified from CA clause 28.2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are true and correct,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail/undertaking regarding arbitration/litigation cases for the last five years,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Duly filled and signed form No 7/8 General Rule and Direction with complete address,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,
