Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
Restoration of Rain Damages on Haripur to Rani Da Mahal Road Km. 0/00 to 1/00,"C/o Retaining wall at RD 0/225 to 0/235, 0/735 to 0/760 and C/o V-shape drain at RD 0/220 to 0/315 and P/L GSB, G-II for extended portion at RD 0/465 to 0/715",Please refer to tender documents ,NA ,"9,43,287",Civil Works,NA ,Tender,75.0,60.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,17-Aug-2023 10:00 AM,24-Aug-2023 11:30 AM,17-Aug-2023 10:00 AM,23-Aug-2023 06:00 PM,NA ,NA ,17-Aug-2023 10:00 AM,23-Aug-2023 06:00 PM,14-Sep-2023 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,"20,000",No,fixed,,Nil,Nil,Executive Engineer,HPPWD Division Dehra,350.0,Nil,Nil,No,PWD,EE Dehra letter No. 3872-77 dated 31.7.2023,2023_PWD_77645_5,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,368001.0,SUVIJAY SAGAR,INR,"732,917",Finance,Summary,Gurvachan Singh,17-Sep-2023 03:47 PM,finance_115983.pdf,BOQ Comparative Chart,1.0,368055.0,Anjan kumar,23-Aug-2023 04:58 PM,Rejected-Finance,Highest Bidder,17-Sep-2023,Technical,Summary,Gurvachan Singh,14-Sep-2023 12:35 PM,technical_115983.pdf,PWD,2023_PWD_77645_5,EE Dehra letter No. 3872-77 dated 31.7.2023,Restoration of Rain Damages on Haripur to Rani Da Mahal Road Km. 0/00 to 1/00,EE Dehra,Internal,"HDM, Supdt, DAO",Gurvachan Singh,14-Sep-2023 12:54 PM,14-Sep-2023 02:00 PM,techsummary_115983.pdf (846.13 KB),EE Dehra,Internal,"HDM, Supdt., DAO",Gurvachan Singh,17-Sep-2023 04:09 PM,finsummary_115983.pdf (1201.76 KB),05-Nov-2023,"INR 943,287",60.0,Gurvachan Singh,05-Nov-2023 03:55 PM,77645_5award.pdf (1079.00 KB),work award issued
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,2.0,367798.0,RAJIV SHARMA GOVT CONTRACT SERVICE,23-Aug-2023 12:31 PM,Rejected-Finance,Highest Bidder,17-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,367594.0,shushil kumar sharma govt contractor,21-Aug-2023 12:27 PM,Rejected-Finance,Highest Bidder,17-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,368001.0,SUVIJAY SAGAR,23-Aug-2023 05:17 PM,Accepted-AOC,L1,05-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
