Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",. EE-JSV-HMR E-tenders-2022-23,2023_HPIPH_80490_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,"(i) The earnest money in favour of Executive Engineer, JAL Shakti Division Hamirpur, shall be submit",1.0,ICICI BANK,C/O LWSS Nadaun Town (24x7) in Tehsil Nadaun Distt. Hamirpur,Sub Head C/O Pump house C/O RCC U/G Main storage Tanks at various locations C/O Sector storage tank C/O Anchor Block for Rising main C/O Boundary wall and Panel Fencing around the storage tanks C/O approach road to pump house and HW C/O Paver Bl,Please refer Tender documents. ,NA ,"22,39,75,780",Civil Works,NA ,Tender,120.0,270.0,EE JSV Division Hamirpur,177001.0,Chief Engineer Jal Sahkti Vibhag Hamirpur Zone ,Chief Engineer Jal Sahkti Vibhag Hamirpur Zone ,25-Oct-2023 03:30 PM ,EE JSV Division Hamirpur,No ,No,19-Oct-2023 06:00 PM,30-Oct-2023 11:30 AM,19-Oct-2023 06:00 PM,30-Oct-2023 11:00 AM,NA ,NA ,19-Oct-2023 06:00 PM,30-Oct-2023 11:00 AM,02-Nov-2023 05:10 PM,"22,72,258",No,fixed,,EE JSV Division Hamirpur,EE JSV Division Hamirpur,"2,500",EE JSV Division Hamirpur,EE JSV Division Hamirpur,No,EE JSV Division Hamirpur,EE JSV Division Hamirpur,29-Nov-2023,"INR 167,537,166",270.0,Sanjay Kumar,29-Nov-2023 02:24 PM,AOC.pdf (994.00 KB),AOC,Technical,Proceeding,Rajiv Sehgal,02-Nov-2023 05:05 PM,technical_119834.pdf,Finance,Proceeding,Sanjay Kumar,02-Nov-2023 05:17 PM,finance_119834.pdf,BOQ Comparative Chart,1.0,381067.0,National India Construction Co.,29-Oct-2023 05:05 PM,Accepted-AOC,..,29-Nov-2023,Er. V.K. Dhatwalia Chief Engineer JSV Hamirpur Zone,Internal,Sr. Astt AED ACHPFAS EE EED SE SED,Rajiv Sehgal,02-Nov-2023 05:07 PM,02-Nov-2023 05:10 PM,techsummary_119834.pdf (3771.86 KB),Er. VK Dhatwalia CE,Internal,SE SED EED EE HPFA AED SR.Assistant,Sanjay Kumar,29-Nov-2023 02:21 PM,finsummary_119834.pdf (3772.36 KB),1.0,381067.0,National India Construction Co.,INR,"167,537,166","HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",2023_HPIPH_80490_1,. EE-JSV-HMR E-tenders-2022-23,C/O LWSS Nadaun Town (24x7) in Tehsil Nadaun Distt. Hamirpur
,,,,,,,,,,,,,,,,.pdf,The cost of tender form as shown above shall be submitted shall be submitted either through online m,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,381212.0,S.k.sharma contractor and engineer,30-Oct-2023 10:35 AM,Rejected-AOC,..,29-Nov-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of registration with JAL Shakti Vibhag in appropriate class. Incase of successfu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,381195.0,SS RANA CONSTRUCTION PRIVATE LIMITED,30-Oct-2023 09:37 AM,Rejected-AOC,..,29-Nov-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Annual Turnover of three years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Experience of having successfully completed similar works during last seven years ending last day of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,c) Besides above the bidders should possess the biding capacity calculated by the specified formula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Similar work means Water Related Project Projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,h) A scanned copy of undertaking in that I have carefully studied all the terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,g) The authorization letter regarding digital signature certificate (DSC) of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,"e) PAN (Permanent Account No.), GST registration and EPF registration and latest income tax return.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
