Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
Construction of LWSS Mallian Sadhrian from Beas River in Tehsil Bhoranj,Providing and Laying Rising Main and Supply and Erection of Centrifugal Pumping Machinery for Ist stage CO Main Pump House and Thrust Blocks and defect liability period of six months,Please refer Tender documents. ,NA ,"20,88,80,174",Civil Works,NA ,Tender,120.0,270.0,Executive Engineer JSV Division Bhoranj,176045.0,Chief Engineer HZ JSV Hamirpur ,Chief Engineer HZ JSV Hamirpur ,25-Sep-2023 11:00 AM ,Jal Shakti Division Bhoranj,No ,No,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP",EE.BHJ.tender-2023-3423-3483 DT 20-09-2023,2023_HPIPH_79129_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"21,21,300",No,fixed,,EE Bhoranj,EE Bhoranj,Executive Engineer JSV Division Bhoranj,Executive Engineer Jal Shakti Division Bhoranj,20-Sep-2023 06:20 PM,30-Sep-2023 11:30 AM,20-Sep-2023 06:25 PM,29-Sep-2023 05:00 PM,NA ,NA ,20-Sep-2023 06:30 PM,29-Sep-2023 05:00 PM,07-Oct-2023 02:55 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,earnest money,"2,500",EE Bhoranj,EE Bhoranj,No,Chief Engineer Hamirpur,Internal,Supdt HZ ACHPFAS HZ AED EE Bhoranj EE D HZ SE HMR SE D HZ,OM Parkash Bhardwaj,06-Nov-2023 01:59 PM,finsummary_117948.pdf (4783.24 KB),1.0,375064.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,INR,"163,666,718","HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP",2023_HPIPH_79129_1,EE.BHJ.tender-2023-3423-3483 DT 20-09-2023,Construction of LWSS Mallian Sadhrian from Beas River in Tehsil Bhoranj,06-Nov-2023,"INR 163,666,718",270.0,OM Parkash Bhardwaj,06-Nov-2023 02:05 PM,AOCMallian.pdf (794.00 KB),Award Letter,Finance,proceeding,OM Parkash Bhardwaj,06-Nov-2023 01:41 PM,finance_117948.pdf,BOQ Comparative Chart,Technical,proceeding,OM Parkash Bhardwaj,07-Oct-2023 02:39 PM,technical_117948.pdf,Chief Engineer Hamirpur,Internal,SrAssttHZ AC HPF AS HZ AED JSV HZ EE Bhoranj EE D HZ SE JSV circle Hamirpur,OM Parkash Bhardwaj,07-Oct-2023 02:53 PM,07-Oct-2023 02:55 PM,techsummary_117948.pdf (4783.24 KB),1,373402,HARJEET SINGH,29-Sep-2023 08:08 AM,Rejected-AOC,accept,06-Nov-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,375064,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,29-Sep-2023 02:23 PM,Accepted-AOC,AOC,06-Nov-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,375002,HYDRAULIC ENGINEERING COMPANY,29-Sep-2023 04:01 PM,Rejected-AOC,accept,06-Nov-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST EPF, Latest ITR, undertaking etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,373980,Lahoty Buildcon Limited,29-Sep-2023 03:39 PM,Rejected-AOC,accept,06-Nov-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,374811,National India Construction Co.,28-Sep-2023 09:41 PM,Rejected-Technical,Reject,07-Oct-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,374575,punjab irrigation and farm solutions,29-Sep-2023 03:08 PM,Rejected-Technical,Reject,07-Oct-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,374806,R K ENGINNERS SALES LTD,29-Sep-2023 03:06 PM,Rejected-AOC,accept,06-Nov-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,374097,S.k.sharma contractor and engineer,29-Sep-2023 11:28 AM,Rejected-Technical,Reject,07-Oct-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,374400,SS RANA CONSTRUCTION PRIVATE LIMITED,29-Sep-2023 04:33 PM,Rejected-AOC,accept,06-Nov-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,375047,Unipro Techno Infrastructure Pvt Ltd,29-Sep-2023 01:05 PM,Rejected-AOC,accept,06-Nov-2023
