S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
1.0,299432.0,VINOD KUMAR,INR,"1,145,899",Finance,Summary,Shakti Kumar Negi,15-Sep-2022 04:30 PM,finance_96936.pdf,BOQ Comparative Chart,Technical,summary,Prithi Pal Singh,14-Sep-2022 11:17 AM,technical_96936.pdf,1.0,300203.0,INDER SINGH,10-Sep-2022 02:56 PM,Rejected-Finance,Non Responsive,12-Oct-2022,04-Nov-2023,"INR 1,145,899",90.0,Kanav Barota,04-Nov-2023 02:56 PM,AOC.pdf (1147.00 KB),AOC,PP Singh,Internal,Jagdish Sharma Supdt Suresh Sharma Clerk Hare Ram Kumar JE,Prithi Pal Singh,12-Oct-2022 03:27 PM,finsummary_96936.pdf (451.56 KB),PP Singh EE,Internal,Jagdish Sharma Supdt Gr II Suresh Sharma Clerk Hare Ram Kumar JE,Prithi Pal Singh,15-Sep-2022 03:54 PM,15-Sep-2022 04:00 PM,techsummary_96936.pdf (451.83 KB),PWD,2022_PWD_64399_1,PW.NH.CB.Tender-2022-2759-2860 dt. 22.8.2022,A.R M.o on Kalka Shimla Wangtoo Road NH 22 New NH 5Km 155.0 to 236.0,1.0,ICICI BANK,Executive Engineer,HP PWD NH Division Theog,A.R M.o on Kalka Shimla Wangtoo Road NH 22 New NH 5Km 155.0 to 236.0,SH C.o R.wall at RD 172.880 to 172.900,Please refer Tender documents. ,NA ,"15,31,952",Civil Works - Roads,NA ,Tender,120.0,90.0,NH Theog,171201.0,NA ,NA ,NA ,EE NH Theog Division,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of UTR Number of Payment made against cost of tender form and FDR,PWD,PW.NH.CB.Tender-2022-2759-2860 dt. 22.8.2022,2022_PWD_64399_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,03-Sep-2022 05:00 PM,12-Sep-2022 11:00 AM,03-Sep-2022 05:00 PM,10-Sep-2022 06:00 PM,NA ,NA ,03-Sep-2022 05:00 PM,10-Sep-2022 06:00 PM,15-Sep-2022 04:00 PM,"1,500",Nil,Nil,No,"30,640",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,2.0,299432.0,VINOD KUMAR,06-Sep-2022 03:40 PM,Accepted-AOC,Responsive,04-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per clause 4.3 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST Number, EPF Registration and Pan No.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of bid as per Section-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Existing commitments and ongoing works as clause No.1.4(A) of Section-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,General work experience (Work done) as per clause 4.5.3 ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working programme(Proposed work method and schedule) as per clause 4.1 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Equipment Capability (List of Machinery) as per clause 4.5.5 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial position (liquid Assets/credit facility) as per clause 4.2(i) and 4.3 (G) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding investment a minimum cash upto 25 percent of the value of the work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
