Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
Sr. Executive engineer,ED Arki,1.0,ICICI BANK,590.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document fee and earnest money receipt,"3,158",No,fixed,,Nil,Nil,01-Nov-2023 04:00 PM,09-Nov-2023 11:00 AM,01-Nov-2023 04:30 PM,08-Nov-2023 03:00 PM,NA ,NA ,01-Nov-2023 04:30 PM,08-Nov-2023 03:00 PM,16-Nov-2023 01:00 PM,HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,HPSEBL/AED/NIT-123/2023-24,2023_HPSEB_80894_1,Yes,Limited,Percentage,Works,2.0,No,No,Online,No,No,No,"shifting of 11 KV HT Line underneath of existing 33KV HT Line from 220 KV S/Stn. to proposed 33 KV S/Stn. Sarli under Electrical Sub-Division HPSEBL,Bhumti.","shifting of 11 KV HT Line underneath of existing 33KV HT Line from 220 KV S/Stn. to proposed 33 KV S/Stn. Sarli under Electrical Sub-Division HPSEBL,Bhumti.",Please refer Tender documents. ,NA ,"3,15,872",Electrical Works,NA ,Tender,180.0,30.0,Under ED Arki,173208.0,NA ,NA ,NA ,ED Arki,No ,No,Sr. Executive Engineer,Internal,"Sr.Executive Enginer, AE, ESD, HPSEBL Darlaghat,Divisional accountant",Devender Koundal,16-Nov-2023 12:28 PM,16-Nov-2023 01:00 PM,techsummary_120409.pdf (491.61 KB),1.0,382322.0,H S Traders,03-Nov-2023 06:14 PM,Accepted-AOC,Lowest Bidder,28-Nov-2023,28-Nov-2023,"INR 315,840",30.0,Devender Koundal,28-Nov-2023 04:14 PM,Award111HT.pdf (5696.00 KB),Awarded to Lowest Bidder,Finance,financially opened,Devender Koundal,16-Nov-2023 02:04 PM,finance_120409.pdf,BOQ Comparative Chart,Technical,technicaly opened,Devender Koundal,09-Nov-2023 11:33 AM,technical_120409.pdf,Sr.Executive Engineer,Internal,"Sr.Executive Engineer,Divisional Accountant, AE ESD Darlaghat",Devender Koundal,25-Nov-2023 03:14 PM,finsummary_120409.pdf (491.61 KB),HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,2023_HPSEB_80894_1,HPSEBL/AED/NIT-123/2023-24,"shifting of 11 KV HT Line underneath of existing 33KV HT Line from 220 KV S/Stn. to proposed 33 KV S/Stn. Sarli under Electrical Sub-Division HPSEBL,Bhumti.",1.0,382322.0,H S Traders,INR,"315,840"
,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Technical and comm.work Experience of similar nature of work as per clause no 1.01 and 1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,382337.0,Inder Singh,03-Nov-2023 06:44 PM,Rejected-Finance,Higher Rates,25-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Class -A contractor Licence as per clause 1.01.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,382920.0,M/S Raizada Enterprises,07-Nov-2023 01:38 PM,Rejected-Finance,Higher Rates,25-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,"Detail of net worth, avg. financial turnover, liquid asset as per clause 1.02.2,1.02.3,1.02.4 fromCA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,The Bidder shall satisfy Bid capacity as clause 1.02.5 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,In case a bid is submitted by a joint venture all the qualification should be full as clause1.02.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Certificate from banker as per clause 2.01.1 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,"Litigation history as per clause 2.01.4 ,Non blacklisting Affidavit,No deviation certi.as per Bid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,"No change of ownership (ITB vol-1,Sec-IIclause2.3.2 and letter of undertaking/Bid validity as per SB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,"GST and EPF registration,pan,self undertake of completion of work and studied all term and condition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
