Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
09-Nov-2023,"INR 45,783,566",365.0,Sanjay Katoch,09-Nov-2023 05:51 PM,AwardSanjay.pdf (1345.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,16-Mar-2023 08:10 PM,finsummary_105032.pdf (489.66 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,07-Mar-2023 05:19 PM,09-Mar-2023 11:00 AM,techsummary_105032.pdf (2990.72 KB),PWD,2023_PWD_69624_1,c/o link road from Bhagot Phaphan km 0/0 to 1/700,Construction of link road from Bhagot to Phaphan km 0/0 to 1/700 in GP Ukhli under Nabard RIDF-XXVIII,1.0,329799.0,S.S.Chauhans Construction Private Limted,INR,"44,965,272.63",Finance,Attached,Sanjay Katoch,16-Mar-2023 08:08 PM,finance_105032.pdf,BOQ Comparative Chart,Technical,Attached,Deepak Kapil,07-Mar-2023 05:16 PM,technical_105032.pdf,1.0,330266.0,anil thakur,02-Mar-2023 08:35 AM,Rejected-Technical,Rejected,07-Mar-2023,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,"5,000",Nil,Nil,No,1.0,ICICI BANK,PWD,c/o link road from Bhagot Phaphan km 0/0 to 1/700,2023_PWD_69624_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of link road from Bhagot to Phaphan km 0/0 to 1/700 in GP Ukhli under Nabard RIDF-XXVIII,SH Construction of 5/7 metre wide road Formation cutting Retaining wall Cross drainage GSB WMM Providing and laying 30mm thick bituminous concrete Interlockiong Paver V-shape-Drain Kilometre stone Parapet W-Metal Crash Barrier Km 0/0 to 1/700,Please refer Tender documents. ,NA ,"4,55,63,192",Civil Works - Roads,NA ,Tender,75.0,365.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,24-Feb-2023 01:15 PM,02-Mar-2023 11:00 AM,24-Feb-2023 01:15 PM,02-Mar-2023 10:30 AM,NA ,NA ,24-Feb-2023 01:15 PM,02-Mar-2023 10:30 AM,09-Mar-2023 11:00 AM,EE Hamirpur,Executive Engineer HPPWD Hamirpur,"9,11,000",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,330342.0,Gian Chand Contactor,01-Mar-2023 04:53 PM,Rejected-Technical,Rejected,07-Mar-2023,,,.pdf,Minimum work done Certificate as per SBD,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,330586.0,MSC Roads and Bridges Private Limited,01-Mar-2023 07:00 PM,Rejected-Finance,l2,16-Mar-2023,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,330466.0,PANKAJ KUMAR,01-Mar-2023 04:22 PM,Rejected-Technical,Rejected,07-Mar-2023,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,330027.0,Piar Chand Chauhan,01-Mar-2023 04:47 PM,Rejected-Technical,Rejeceted,07-Mar-2023,,,.pdf,EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,329799.0,S.S.Chauhans Construction Private Limted,01-Mar-2023 06:12 PM,Accepted-AOC,l1,09-Nov-2023,,,.pdf,GST Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders required to have paver Machine and Hot Mini Plant in the radius of 30km for execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,having NOC from HP State Pollution Control Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
