Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
25-Sep-2023 04:00 PM,05-Oct-2023 11:30 AM,25-Sep-2023 04:00 PM,04-Oct-2023 05:00 PM,NA ,NA ,25-Sep-2023 04:15 PM,04-Oct-2023 05:00 PM,11-Oct-2023 11:15 AM,1.0,Fee/PreQual/Technical,.pdf,Earnest Money,"5,56,063",No,fixed,,EE JSV Division Bhoranj,EE JSV Division Bhoranj,1.0,ICICI BANK,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP",EE.BHJ.tender-3618-3678 Dated 25.09.20,2023_HPIPH_79301_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Both(Online/Offline),No,No,No,Construction of LWSS Mallian Sadhrian from Beas River in Tehsil Bhoranj Distt Hamirpur,"C O of 1No Percolation well with control room, 1No OHSR 500000 ltrs. Cap with 10 mtr stg. Ht Boundary wall around the Head Works, P L Rising Main for Booster stage, Thrust Block P L gravity Main and Supplying and Errection of Submersible P",Please refer Tender documents. ,NA ,"5,23,56,299",Civil Works,NA ,Tender,270.0,365.0,EE JSV Division Bhoranj,176045.0,Superintending Engineer Jal Shakti Circle Hamirpur ,Superintending Engineer Jal Shakti Circle Hamirpur ,29-Sep-2023 11:00 AM ,EE JSV Division Bhoranj,No ,No,"2,500",EE JSV Division Bhoranj,EE JSV Division Bhoranj,No,EE JSV Division Bhoranj,EE JSV Division Bhoranj,09-Nov-2023,"INR 40,917,084",365.0,OM Parkash Bhardwaj,09-Nov-2023 11:53 AM,AOC.pdf (680.00 KB),AOC,Technical,Proceeding,OM Parkash Bhardwaj,11-Oct-2023 10:58 AM,technical_118187.pdf,Finance,proceeding,OM Parkash Bhardwaj,09-Nov-2023 11:28 AM,finance_118187.pdf,BOQ Comparative Chart,1,375917,Ashwani Kumar Govt Contractor,04-Oct-2023 11:14 AM,Rejected-Technical,Reject,11-Oct-2023,SE Hamirpur,Internal,JE Circle CHD HMR AE Circle HMR EE Bhoranj EE(D) SE,OM Parkash Bhardwaj,11-Oct-2023 11:13 AM,11-Oct-2023 11:15 AM,techsummary_118187.pdf (2568.61 KB),SE Hamirpur,Internal,JE Circle Clerk Circle CHD HMR AE HMR EE Bhoranj EE D,OM Parkash Bhardwaj,09-Nov-2023 11:45 AM,finsummary_118187.pdf (1174.71 KB),1.0,375597.0,Naresh Kumar,INR,"40,917,084","HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP",2023_HPIPH_79301_1,EE.BHJ.tender-3618-3678 Dated 25.09.20,Construction of LWSS Mallian Sadhrian from Beas River in Tehsil Bhoranj Distt Hamirpur
,,,,,,,,,,,.pdf,Cost of tender form,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,375911,Dogra Construction Company Pvt Ltd,04-Oct-2023 10:52 AM,Rejected-AOC,Accept,09-Nov-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,375613,gagan ohri,04-Oct-2023 09:56 AM,Rejected-Technical,Reject,11-Oct-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,PAN GST EPF etc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,375677,HARJEET SINGH,03-Oct-2023 01:47 PM,Rejected-AOC,Accept,09-Nov-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Annual Turn over last three years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,375837,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,03-Oct-2023 07:02 PM,Rejected-AOC,Accept,09-Nov-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Bid capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,375695,KRP Engineering Pvt. Ltd.,04-Oct-2023 10:19 AM,Rejected-Technical,Reject,11-Oct-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Pre qualification criteria proof as per NIT condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,375877,MS Kamal Dev Sharma,04-Oct-2023 08:22 AM,Rejected-AOC,Accept,09-Nov-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Undertaking and technical bid document as per NIT Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,375597,Naresh Kumar,04-Oct-2023 03:55 PM,Accepted-AOC,Accept,09-Nov-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,375554,National India Construction Co.,04-Oct-2023 09:36 AM,Rejected-Technical,Reject,11-Oct-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,375611,SS RANA CONSTRUCTION PRIVATE LIMITED,03-Oct-2023 05:10 PM,Rejected-AOC,Accept,09-Nov-2023,,,,,,,,,,,,,,,,,,,,,,
