Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address
HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,2023_HPSEB_81431_1,HPSEBL/BED/DB-Tender JOB.24,HPSEBL/BED/DB-Tender JOB.24,1.0,384834.0,Sharma Enterprises,INR,"394,815",Er. Deepak Verma,Internal,"Er. Trilok Sharma (AEE) Sh. Sukhvinder Singh, (JOA) Accounts",Deepak Verma,25-Nov-2023 03:42 PM,finsummary_121205.pdf (515.57 KB),25-Nov-2023,"INR 394,815",45.0,Deepak Verma,25-Nov-2023 04:20 PM,Awardjobno24.pdf (3924.00 KB),Award letter attached,Technical,Technical Bid Opening Summery,Deepak Verma,25-Nov-2023 02:45 PM,technical_121205.pdf,Finance,Financial Bid Opening Summery,Deepak Verma,25-Nov-2023 03:39 PM,finance_121205.pdf,BOQ Comparative Chart,1.0,385725.0,Dhiman Enterprises,23-Nov-2023 07:09 PM,Rejected-Finance,Rates on higher side of L 1,25-Nov-2023,Er. Deepak Verma,Internal,"Er. Trilok Sharma (AEE) Sh. Sukhvinder Singh, (JOA) Accounts",Deepak Verma,25-Nov-2023 02:47 PM,25-Nov-2023 03:00 PM,techsummary_121205.pdf (721.03 KB),HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,HPSEBL/BED/DB-Tender JOB.24,2023_HPSEB_81431_1,Yes,Limited,Turn-key,Works,2.0,No,No,Online,No,No,No,HPSEBL/BED/DB-Tender JOB.24,E Tendering on turnkey basis for prov SOP to EV Charging Stations at EBAY ENTERPRESES BADDI Toll Tax Barrier Baddi in Electrical Section Barotiwala local under Electrical SubDivision HPSEBL Barotiwala Name of Scheme Deposit work,A Class Electrical License with Chief Electrical Inspector ,NA ,"3,96,799",Electrical Works,HT DTR LT ,Tender,180.0,45.0,Baddi,173205.0,NA ,NA ,NA ,Baddi,No ,No,1.0,ICICI BANK,590.0,Nil,Nil,No,"3,968",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of tender cost and earnest money,1.0,extension of time,Date,,15-Nov-2023 01:00 PM,25-Nov-2023 02:00 PM,15-Nov-2023 01:00 PM,25-Nov-2023 01:00 PM,NA ,NA ,15-Nov-2023 01:00 PM,25-Nov-2023 01:00 PM,25-Nov-2023 03:00 PM,Er. Deepak Verma,"Sr. Executive Engineer, Electrical Division, HPSEBL Baddi"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,385733.0,GLOBAL ENGINEERING,24-Nov-2023 06:42 PM,Rejected-Finance,Rates on higher side of L 1,25-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,.pdf,A Class Electrical License with Chief Electrical Inspector,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,384834.0,Sharma Enterprises,20-Nov-2023 07:04 PM,Accepted-AOC,Award of work,25-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capacity/turnover certificate with CA Certified,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate/Completion Certificate as per SBD Volume I Section III Clause No 1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit for Blacklisting/Change of Ownership/Litigation,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPFO No/ESI No.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint Venture if Applicable,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,
