S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.3,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
1.0,corrigendum3,Technical evaluation committee re-evaluated technical bid in its meeting held on 8/11/23 in the light of clarification and tender document conditions.,10-Nov-2023 03:33 PM,JNRSEC2.pdf ,348.73,Technical Opening,1,341960,Corporate Care,17-Apr-2023 02:44 PM,Rejected-Finance,highest bid,28-Nov-2023,Technical,bid opened on 17/11/23 by technical evaluation committee,Dharam Singh Verma,18-Nov-2023 01:17 PM,technical_107983.pdf,DrNarenderBhardwaj,Internal,DRDineshThakurDrAnuradhaShDeshBandhu,Devender Sharma,18-Nov-2023 01:26 PM,18-Nov-2023 03:00 PM,techsummary_107983.pdf (345.13 KB),Finance,bid summary,Devender Sharma,22-Nov-2023 12:00 PM,finance_107983.pdf,BOQ Comparative Chart,Department of Health and Family Welfare||Directorate of Health and Family Welfare||CMO MANDI,2023_DFHW_71789_1,HFW-MND-JNR,Security Services,DrNarenderBhardwaj,Internal,DrDineshThakurDranuradhaShDeshBandhu,Devender Sharma,28-Nov-2023 03:10 PM,finsummary_107983.pdf (212.62 KB),1.0,341783.0,S M Manpower Services Pvt. Ltd.,INR,"168,986.42",28-Nov-2023,"INR 2,400,000",365.0,Devender Sharma,28-Nov-2023 03:18 PM,awardletterjnr.pdf (286.00 KB),Award letter,Department of Health and Family Welfare||Directorate of Health and Family Welfare||CMO MANDI,HFW-MND-JNR,2023_DFHW_71789_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Both(Online/Offline),No,No,No,Security Services,Security services for CH Jogindernagar,Please refer Tender documents. ,NA ,"24,00,000",Manpower Supply,NA ,Rate Contract,180.0,365.0,CH Jogindernagar,175015.0,CMO Mandi ,CMO Mandi ,05-Apr-2023 11:00 AM ,CMO Mandi,No ,No,1.0,ICICI BANK,31-Mar-2023 05:35 PM,18-Apr-2023 11:00 AM,31-Mar-2023 05:40 PM,17-Apr-2023 05:00 PM,NA ,NA ,31-Mar-2023 05:45 PM,17-Apr-2023 05:00 PM,18-Nov-2023 03:00 PM,CMO Mandi,CMO Mandi,"1,000",CMO Mandi,CMO Mandi,No,1.0,Fee/PreQual/Technical,.pdf,technical bid,"50,000",No,fixed,,CMO Mandi,CMO Mandi
,,,,,,,2,342355,CVS SERVICES PVT LTD,17-Apr-2023 12:39 AM,Rejected-Technical,Due to non submission of valid experience certificate,18-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,NIT,,,,,,
,,,,,,,3,340389,Maharishi Enterprises,17-Apr-2023 02:20 PM,Rejected-Finance,highest bid,28-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial bid,,,,,,
,,,,,,,4,341965,M/S A K HOSPITALITY SERVICES,17-Apr-2023 02:28 PM,Rejected-Technical,"Due to non submission of required documnets except EMD,GST returns and turn over",18-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5,342174,M/S BALDEV KUMAR,15-Apr-2023 03:12 PM,Rejected-Finance,highest bid,28-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6,342180,NUVISION COMMERCIAL & ESCORT SERVICES,15-Apr-2023 04:11 PM,Rejected-Finance,highest bid,28-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,7,342019,RK & CO,17-Apr-2023 10:15 AM,Rejected-Finance,highest bid,28-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,8,342535,RUPENDER CHANDEL SECURITY AGENCY,17-Apr-2023 04:59 PM,Rejected-Technical,"Due to non submission of valid experience certificate ,GST returns and undertakings",18-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9,341783,S M Manpower Services Pvt. Ltd.,15-Apr-2023 05:33 PM,Accepted-AOC,lowest bid,28-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,10,342439,V EAGLE SECURITY SERVICES,17-Apr-2023 12:54 PM,Rejected-Technical,Due to non submission of valid EPF and ESIC certificate,18-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
