Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),PWD,PW-KD-E-TENDER/2023-24-2591-95 DTD 28-8-2023,2023_PWD_78251_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"22,200",No,fixed,,Nil,Nil,R/R Damages on Chole Badrooni Gahrog Bari Road in K.M. 0/00 to 3/375 C/o R/Wall at R.D. 2/450 to 2/480,C/o R/Wall at R.D. 2/450 to 2/480,Please refer Tender documents. ,NA ,"11,10,225",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,500.0,Nil,Nil,No,Executive Engineer,HPPWD DIVISION KOTKHAI,1.0,ICICI BANK,02-Sep-2023 11:00 AM,11-Sep-2023 11:00 AM,02-Sep-2023 11:00 AM,08-Sep-2023 06:00 PM,NA ,NA ,02-Sep-2023 11:00 AM,08-Sep-2023 06:00 PM,16-Sep-2023 01:05 PM,Executive Engineer,Internal,"XEN, AE, HDM, Supdt.",Vinod Shyam,16-Sep-2023 01:03 PM,16-Sep-2023 01:05 PM,techsummary_116725.pdf (8088.17 KB),PWD,2023_PWD_78251_1,PW-KD-E-TENDER/2023-24-2591-95 DTD 28-8-2023,R/R Damages on Chole Badrooni Gahrog Bari Road in K.M. 0/00 to 3/375 C/o R/Wall at R.D. 2/450 to 2/480,15-Nov-2023,"INR 1,110,225",45.0,Vinod Shyam,16-Nov-2023 04:43 PM,11.pdf (753.00 KB),Executive Engineer,Internal,"XEN, AE, Supdt. HDM",Vinod Shyam,22-Sep-2023 02:48 PM,finsummary_116725.pdf (182.90 KB),1.0,370536.0,BHOOP SINGH CHAUHAN,INR,"1,143,090",Finance,SUMMARY UPLOADED,Vinod Shyam,22-Sep-2023 02:43 PM,finance_116725.pdf,BOQ Comparative Chart,1.0,370683.0,AKSHAY DHILLON,08-Sep-2023 02:30 PM,Rejected-Technical,Not Qualified,16-Sep-2023,Technical,Summary Updated,Vinod Shyam,16-Sep-2023 01:01 PM,technical_116725.pdf
,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,370536.0,BHOOP SINGH CHAUHAN,07-Sep-2023 05:08 PM,Accepted-AOC,lowest bidder to awarded the work,16-Nov-2023,,,,,
,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,370534.0,dinesh,07-Sep-2023 05:01 PM,Rejected-Technical,Not Qualified,16-Sep-2023,,,,,
,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,370471.0,M/S NAVEEN DHAUSTA GOVT. CONTRACTOR,07-Sep-2023 01:41 PM,Rejected-Finance,L2 BIDDER,22-Sep-2023,,,,,
,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
