Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
Executive Engineer JSV Division Hamirpur,Executive Engineer JSV Division Hamirpur,12-Oct-2023 05:00 PM,21-Oct-2023 11:30 AM,12-Oct-2023 05:00 PM,21-Oct-2023 11:00 AM,NA ,NA ,12-Oct-2023 05:00 PM,21-Oct-2023 11:00 AM,27-Oct-2023 03:25 PM,"2,500",Executive Engineer JSV Division Hamirpur,Executive Engineer JSV Division Hamirpur,No,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",EE-JSV-HMRtenders-2022-23,2023_HPIPH_80111_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Construction of Source Strengthening of various WSS under JSV Sub-Division Nadaun and Dhaneta (Phase 1st and 2nd including i C/O LWSS Rajnoun, Dhaneta Dib Ponkher Behrad Janshooh Manjra and LWSS Sukriah 4 Nos Phase ii C/O Amblehar Bhabrina, iii) C/O","Sub Head C/O Percolation well along with control panel room, C/O Pump Houses at Kohla, C/O Clear water tank C/O RCC U/G clear water tank C/O RCC OHSR C/O Anchor Block for Rising main/Gravity mains C/O RCC flood protection wall C/O Boundary wall a",Please refer Tender documents. ,NA ,"46,66,95,530",Civil Works,NA ,Tender,120.0,270.0,Executive Engineer JSV Division Hamirpur,177001.0,Chief Engineer JSV HZ Hamirpur ,Chief Engineer JSV HZ Hamirpur ,17-Oct-2023 03:30 PM ,Executive Engineer JSV Division Hamirpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,"(i) The earnest money in favour of Executive Engineer, JAL Shakti Division Hamirpur, shall be submit",1.0,Corrigend,Other,,"46,99,455",No,fixed,,Executive Engineer JSV Division Hamirpur,Executive Engineer JSV Division Hamirpur,1.0,ICICI BANK,Vivek Dhatwalia CE Hamirpur,Internal,Sr. Asst EE EED SE SED,Sanjay Kumar,30-Oct-2023 11:28 AM,finsummary_119371.pdf (3940.26 KB),1.0,379596.0,Unipro Techno Infrastructure Pvt Ltd,INR,"363,818,142","HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",2023_HPIPH_80111_1,EE-JSV-HMRtenders-2022-23,"Construction of Source Strengthening of various WSS under JSV Sub-Division Nadaun and Dhaneta (Phase 1st and 2nd including i C/O LWSS Rajnoun, Dhaneta Dib Ponkher Behrad Janshooh Manjra and LWSS Sukriah 4 Nos Phase ii C/O Amblehar Bhabrina, iii) C/O",1.0,378993.0,HARJEET SINGH,18-Oct-2023 09:27 AM,Rejected-AOC,..,11-Nov-2023,Vijay kumar Dhatwalia Chief Engineer JSV Hamirpur,Internal,Sr Astt AED AC HPFAS EEHMR EED HZ SE HMR SED,Sanjay Kumar,27-Oct-2023 03:24 PM,27-Oct-2023 03:25 PM,techsummary_119371.pdf (3940.26 KB),11-Nov-2023,"INR 363,818,142",270.0,Sanjay Kumar,11-Nov-2023 02:23 PM,AOC.pdf (1150.00 KB),AOC,Technical,Proceeding,Sanjay Kumar,27-Oct-2023 03:22 PM,technical_119371.pdf,Finance,Proceeding,Sanjay Kumar,30-Oct-2023 11:15 AM,finance_119371.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The cost of tender form as shown above shall be submitted shall be submitted either through online m,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,2.0,379368.0,R K ENGINNERS SALES LTD,20-Oct-2023 03:44 PM,Rejected-AOC,..,11-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,(iii) Copy of Certificate of registration with JAL Shakti Vibhag in appropriate class.Incase of succ,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,379069.0,Swastik Constructions,20-Oct-2023 07:19 PM,Rejected-AOC,..,11-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar work means Water Related Project Projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,379596.0,Unipro Techno Infrastructure Pvt Ltd,20-Oct-2023 05:02 PM,Accepted-AOC,..,11-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of three years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,c) Besides above the bidders should possess the biding capacity calculated by the spe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of having successfully completed similar works during last seven years ending last,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"e) PAN (Permanent Account No.), GST registration and EPF registration and latest income tax return.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,h) A scanned copy of undertaking in that I have carefully studied all the terms and conditions stipu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC) of the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
