Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
11-Nov-2023,"INR 14,185,710",1095.0,Sanjay Kumar,11-Nov-2023 02:52 PM,AOC.pdf (488.00 KB),AOC,Technical,Proceeding,Sanjay Kumar,04-Apr-2023 03:52 PM,technical_105761.pdf,Finance,financial,Sanjay Kumar,05-Apr-2023 04:09 PM,finance_105761.pdf,BOQ Comparative Chart,1.0,335699.0,Himanshu Dewan,17-Mar-2023 10:19 AM,Accepted-AOC,..,11-Nov-2023,Er. Neeraj Bhogal Superintending Engineer,Internal,Supdt W JE CHD AED EE EED,Sanjay Kumar,04-Apr-2023 03:53 PM,04-Apr-2023 04:00 PM,techsummary_105761.pdf (1388.32 KB),1.0,335699.0,Himanshu Dewan,INR,"14,185,710","HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",2023_HPIPH_70168_1,No. EE-JSV-HMR-E-Tenders-2022-23,Operation Running and Maintenance of Sewerage Scheme to Hamirpur Town Zone III in Tehsil and District Hamirpur Sub Head Operation and maintenance of complete sewer net work manholes chamber flushing tanks and STP 0.68 MLD for 3 years period,EE JSV Division Hamirpur,Internal,Financial,Sanjay Kumar,05-Apr-2023 04:13 PM,finsummary_105761.pdf (291.70 KB),"1,85,187",Yes,fixed,,EE JSV DIVISION HAMIRPUR,EE JSV DIVISION HAMIRPUR,EE JSV DIVISION HAMIRPUR,EE JSV DIVISION HAMIRPUR,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,The earnest Money as per NIT condition,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",No. EE-JSV-HMR-E-Tenders-2022-23,2023_HPIPH_70168_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Both(Online/Offline),No,No,No,Operation Running and Maintenance of Sewerage Scheme to Hamirpur Town Zone III in Tehsil and District Hamirpur Sub Head Operation and maintenance of complete sewer net work manholes chamber flushing tanks and STP 0.68 MLD for 3 years period,Operation Running and Maintenance of Sewerage Scheme to Hamirpur Town Zone III in Tehsil and District Hamirpur Sub Head Operation and maintenance of complete sewer net work manholes chamber flushing tanks and STP 0.68 MLD for 3 years period,Please refer Tender documents. ,NA ,"1,52,68,711",Civil Works,NA ,Tender,120.0,1095.0,EE JSV DIVISION HAMIRPUR,177001.0,NA ,NA ,NA ,EE JSV DIVISION HAMIRPUR,No ,No,04-Mar-2023 05:00 PM,17-Mar-2023 11:30 AM,04-Mar-2023 05:00 PM,17-Mar-2023 11:00 AM,NA ,NA ,04-Mar-2023 05:00 PM,17-Mar-2023 11:00 AM,04-Apr-2023 04:00 PM,"1,500",EE JSV DIVISION HAMIRPUR,EE JSV DIVISION HAMIRPUR,No
,,,,,,,,,,,,,,,,,,2.0,335545.0,M/S VIKAS CONSTRUCTION CO.,17-Mar-2023 10:17 AM,Rejected-AOC,..,11-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,The Cost of tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.0,335688.0,Tek Chand,17-Mar-2023 10:49 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with HPJSV Departmenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Income Tax GST No. EPF NO. ESIC registration labour licences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of having successfully completed similar works during last 7 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The contractor must be at least M-Tech Environments him self from recongized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A scanned copy of undertaking that I have carefully studied all the terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A scanned copy of undertaking DSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,others terms and condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
