Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
Executive Engineer,Executive Engineer HP PWD Division Dharamshala,1.0,ICICI BANK,PWD,dshala 5915-45,2023_PWD_77944_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,28-Aug-2023 09:00 AM,11-Sep-2023 11:30 AM,28-Aug-2023 09:00 AM,11-Sep-2023 11:00 AM,NA ,NA ,28-Aug-2023 09:00 AM,11-Sep-2023 11:00 AM,13-Sep-2023 12:15 PM,"13,700",No,fixed,,Nil,Nil,Periodic maintenance of Ankhan Khola Sudhed Road under AMP 2023-24 Rural Road in Distt. Kangra H.P.,SH- Providing and laying 30mm thick Bitumininous concrete laying with paver finisher in KM 2/000 to 2/500,Please refer Tender documents. ,NA ,"6,82,263",Civil Works,NA ,Tender,75.0,30.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,Er. Jagtar Singh Thakur,Internal,Sh. Rajinder Kumar DAO (Gr.I) Sh. O P Sharrma Supdt. Smt. Anita Kumar JDM Sh. Sanjay Kumar TA,Jagtar Singh Thakur,13-Sep-2023 12:14 PM,13-Sep-2023 12:15 PM,techsummary_116345.pdf (222.13 KB),PWD,2023_PWD_77944_1,dshala 5915-45,Periodic maintenance of Ankhan Khola Sudhed Road under AMP 2023-24 Rural Road in Distt. Kangra H.P.,05-Nov-2023,"INR 705,452",30.0,Jagtar Singh Thakur,05-Nov-2023 12:48 PM,IMG.pdf (570.00 KB),Sh. Rohit Sharma R/O Dagwar,Er. J.S. Thakur,Internal,"Sr. DAO, Supdt.Gr-II, HDM, Tender Assisatant",Jagtar Singh Thakur,05-Nov-2023 12:37 PM,finsummary_116345.pdf (191.82 KB),1.0,370932.0,Kapil Sharma,09-Sep-2023 03:29 PM,Rejected-Finance,due to Higher bid,05-Nov-2023,Technical,As per document attached,Jagtar Singh Thakur,11-Sep-2023 12:09 PM,technical_116345.pdf,1.0,370856.0,Rohit,INR,"705,452",Finance,As per document attached,Jagtar Singh Thakur,13-Sep-2023 12:22 PM,finance_116345.pdf,BOQ Comparative Chart
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,2.0,370856.0,Rohit,09-Sep-2023 12:48 PM,Accepted-AOC,L1,05-Nov-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery including Hot Mix plant with proof i.e RCs etc. for tarring work and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
