Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and EMD,11-Aug-2023 09:00 AM,18-Aug-2023 11:30 AM,11-Aug-2023 09:00 AM,18-Aug-2023 11:00 AM,NA ,NA ,11-Aug-2023 09:00 AM,18-Aug-2023 11:00 AM,30-Aug-2023 11:30 AM,"C/O National Institute of Fashion Technology Kangra at Chheb in Distt. Kangra, HP (SH- Providing Variable Refrigeration Volume/Flow based HVAC system therein)","C/O National Institute of Fashion Technology Kangra at Chheb in Distt. Kangra, HP (SH- Providing Variable Refrigeration Volume/Flow based HVAC system therein)",Please refer Tender documents. ,NA ,"1,75,32,707",Electrical Works,NA ,Tender,120.0,730.0,Kangra at Chheb in Distt. Kangra HP,176001.0,NA ,NA ,NA ,Palampur,No ,No,PWD,Elect. Division HPPWD Palampur,2023_PWD_77462_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"5,000",Nil,Nil,No,Executive Engineer,Electrical Division HPPWD Palampur,"2,07,900",No,fixed,,Nil,Nil,Finance,as per uploaded document,Dalip singh Patial,02-Sep-2023 04:37 PM,finance_115709.pdf,BOQ Comparative Chart,1.0,366720.0,PRINCE AIRCON,INR,"16,638,539",1.0,366858.0,Chandigarh Aircondition Engineers,17-Aug-2023 09:37 PM,Rejected-Technical,Technically Not Qualified,27-Aug-2023,Technical,as per uploaded document,Dalip singh Patial,27-Aug-2023 06:10 PM,technical_115709.pdf,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman and duly approved by the SE 2nd Elect. Circle HPPWD Dharamshala,Dalip singh Patial,27-Aug-2023 06:17 PM,30-Aug-2023 11:30 AM,techsummary_115709.pdf (729.68 KB),PWD,2023_PWD_77462_1,Elect. Division HPPWD Palampur,"C/O National Institute of Fashion Technology Kangra at Chheb in Distt. Kangra, HP (SH- Providing Variable Refrigeration Volume/Flow based HVAC system therein)",14-Nov-2023,"INR 17,532,707",730.0,Dalip singh Patial,14-Nov-2023 04:34 PM,NIFThvac.pdf (958.00 KB),as per uploaded document,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman,Dalip singh Patial,02-Sep-2023 04:38 PM,finsummary_115709.pdf (22.40 KB)
,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,2.0,366732.0,ESS ESS ENTERPRISES AND ELECTRONICS,17-Aug-2023 02:35 PM,Rejected-Finance,L2,02-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Compliance Report/Sheet as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,366720.0,PRINCE AIRCON,17-Aug-2023 01:54 PM,Accepted-AOC,L1,14-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"GST, EPF registration certificate, copy of PAN and Latest ITR filed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Average Annual Financial Turnover of last five years duly signed by CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Works in hand certificate as per condition No.16 of tender document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Bidding Capacity as per condition No.26.2(a) at page-24 of tender document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Similar nature of work completion certificate as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form 7/8 of tender document duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Declaration by the bidder duly signed as per document attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
