Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Corrigendum Title,Corrigendum Type,View,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1.1,Bank Name
14-Nov-2023,"INR 25,173,019",365.0,Dalip singh Patial,14-Nov-2023 04:28 PM,TndaHVAC.pdf (2699.00 KB),as per uploaded document,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman,Dalip singh Patial,02-Sep-2023 04:35 PM,finsummary_112192.pdf (22.39 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman and duly approved by the SE 2nd Elect. Circle HPPWD Dharamshala,Dalip singh Patial,27-Aug-2023 06:12 PM,30-Aug-2023 11:30 AM,techsummary_112192.pdf (765.56 KB),PWD,2023_PWD_74890_1,Elect. Division HPPWD Palampur,C/O Centre of Excellence in Mental Health for Dr.RPGMC Tanda (SH- Providing Variable Refrigeration Volume/Flow based HVAC system therein),Technical,as per uploaded document,Dalip singh Patial,27-Aug-2023 06:09 PM,technical_112192.pdf,1.0,355289.0,ESS ESS ENTERPRISES AND ELECTRONICS,19-Jun-2023 12:07 PM,Rejected-Finance,L2,02-Sep-2023,1.0,355168.0,PRINCE AIRCON,INR,"23,599,705",Finance,as per uploaded document,Dalip singh Patial,02-Sep-2023 04:34 PM,finance_112192.pdf,BOQ Comparative Chart,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,PWD,Elect. Division HPPWD Palampur,2023_PWD_74890_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,C/O Centre of Excellence in Mental Health for Dr.RPGMC Tanda (SH- Providing Variable Refrigeration Volume/Flow based HVAC system therein),C/O Centre of Excellence in Mental Health for Dr.RPGMC Tanda (SH- Providing Variable Refrigeration Volume/Flow based HVAC system therein),Please refer Tender documents. ,NA ,"2,51,73,019",Electrical Works,NA ,Tender,120.0,365.0,Kangra at Tanda in Distt. Kangra,176001.0,NA ,NA ,NA ,Palampur,No ,No,13-Jun-2023 09:00 AM,14-Aug-2023 11:30 AM,13-Jun-2023 09:00 AM,14-Aug-2023 11:00 AM,NA ,NA ,13-Jun-2023 09:00 AM,14-Aug-2023 11:00 AM,30-Aug-2023 11:30 AM,"5,000",Nil,Nil,No,1.0,corrigendum4,Date,,Executive Engineer,Elect. Division HPPWD Palampur,"2,48,300",No,fixed,,Nil,Nil,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,355168.0,PRINCE AIRCON,05-Jul-2023 06:45 PM,Accepted-AOC,L1,14-Nov-2023,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Technical Qualification Criteria,Technical Bid,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Compliance sheet regarding makes and models as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST, EPF registration certificate and copy of Latest ITR filed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual financial turnover as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance sheet duly signed by CA as per tender document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Works completed and Works in hand detail as per tender document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature of work done certificate as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Credentials and profile of the technical team executing the work as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
