S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address
1.0,371688.0,ABS ENTERPRISES,12-Sep-2023 08:41 PM,Rejected-AOC,Reject,01-Nov-2023,Er. Deepak Verma,Internal,Er. Trilok Sharma (AEE) Sh. Luv Kumar (Supdt. DA),Deepak Verma,28-Sep-2023 01:07 PM,28-Sep-2023 03:00 PM,techsummary_117388.pdf (466.40 KB),Technical,Technical Bid Opening Summery,Deepak Verma,28-Sep-2023 01:04 PM,technical_117388.pdf,Finance,Financial Bid Opening Summery,Deepak Verma,01-Nov-2023 12:50 PM,finance_117388.pdf,BOQ Comparative Chart,01-Nov-2023,"INR 686,997",45.0,Deepak Verma,01-Nov-2023 02:33 PM,Awardjobno14.pdf (3892.00 KB),Award of work,1.0,371836.0,VINAY KUMAR SHARMA,INR,"686,997",HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,2023_HPSEB_78707_1,HPSEBL/BED/DB-Tender JOB.14,HPSEBL/BED/DB-Tender JOB.14,Er. Deepak Verma,Internal,Er. Trilok Sharma (AEE) Sh. Luv Kumar (Supdt. DA),Deepak Verma,01-Nov-2023 02:02 PM,finsummary_117388.pdf (494.56 KB),"6,911",No,fixed,,Nil,Nil,HPSEBL/BED/DB-Tender JOB.14,E Tendering on turnkey basis for SOP to proposed Source Str of various LWSS Under JSV Sub Division Chandi at Near existing LWSS Johariji 1st Stages Village Madfal Under Electrical SubDivision HPSEBL Goela Name of Scheme Deposit,A Class Electrical License with Chief Electrical Inspector ,NA ,"6,91,074",Electrical Works,HT DTR LT ,Tender,180.0,45.0,Baddi,173205.0,NA ,NA ,NA ,Baddi,No ,No,590.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Detail of EMD and Tender fees,HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,HPSEBL/BED/DB-Tender JOB.14,2023_HPSEB_78707_1,Yes,Limited,Turn-key,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,11-Sep-2023 05:00 PM,18-Sep-2023 02:00 PM,12-Sep-2023 10:00 AM,18-Sep-2023 11:00 AM,NA ,NA ,12-Sep-2023 10:00 AM,18-Sep-2023 11:00 AM,28-Sep-2023 03:00 PM,Er. Deepak Verma,"Sr. Executive Engineer, Electrical Division, HPSEBL Baddi"
2.0,371538.0,rajinder singh,13-Sep-2023 10:23 AM,Rejected-AOC,Reject,01-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capacity/turnover certificate with CA Certified,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,
3.0,371836.0,VINAY KUMAR SHARMA,13-Sep-2023 02:42 PM,Accepted-AOC,Award of work,01-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate/Completion Certificate as per SBD Volume I Section III Clause No 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit for Blacklisting/Change of Ownership/Litigation,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPFO No/ESI No.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint Venture if Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License with Chief Electrical Inspector,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
