S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :
1.0,ICICI BANK,500.0,Nil,Nil,No,07-Oct-2023 11:00 AM,16-Oct-2023 11:00 AM,07-Oct-2023 11:00 AM,13-Oct-2023 06:00 PM,NA ,NA ,07-Oct-2023 11:00 AM,13-Oct-2023 06:00 PM,17-Oct-2023 04:05 PM,"35,700",No,fixed,,Nil,Nil,PWD,PW-KD-E-Tender/2023-24-4057-61 dtd 4-10-2023,2023_PWD_79842_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"R/R Damages on Marathu Tharolla Tahu Road in K.M. 0/00 to 17/100, Repair of abutment of slab culvert at R.d. 3/865","R/R Damages on Marathu Tharolla Tahu Road in K.M. 0/00 to 17/100, Repair of abutment of slab culvert at R.D. 3/865",Please refer Tender documents. ,NA ,"17,81,349",Civil Works - Roads,NA ,Tender,90.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,Executive Engineer,HPPWD Division Kotkhai,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,377764.0,RAVINDER CHAUHAN,INR,"1,857,529",Finance,SUMMARY UPLOADED,Akhil Chauhan,17-Oct-2023 04:35 PM,finance_118955.pdf,BOQ Comparative Chart,1.0,377894.0,BALBIR SINGH,13-Oct-2023 05:15 PM,Rejected-Finance,L2 BIDDER,17-Oct-2023,Technical,summary uploaded,Vinod Shyam,17-Oct-2023 03:57 PM,technical_118955.pdf,PWD,2023_PWD_79842_1,PW-KD-E-Tender/2023-24-4057-61 dtd 4-10-2023,"R/R Damages on Marathu Tharolla Tahu Road in K.M. 0/00 to 17/100, Repair of abutment of slab culvert at R.d. 3/865",Executive Engineer,Internal,"XEN, AE, Supdt. HDM",Vinod Shyam,17-Oct-2023 04:03 PM,17-Oct-2023 04:05 PM,techsummary_118955.pdf (1046.12 KB),Executive Engineer,Internal,"XEN, AE, Supdt. Gr-I, HDM",Akhil Chauhan,17-Oct-2023 04:37 PM,finsummary_118955.pdf (190.98 KB),23-Nov-2023,"INR 1,781,349",45.0,Akhil Chauhan,23-Nov-2023 04:09 PM,1.pdf (777.00 KB)
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,2.0,377764.0,RAVINDER CHAUHAN,13-Oct-2023 04:25 PM,Accepted-AOC,Lowest bidder to awarded the work,23-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
