Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Finance,Summary,Narender verma,04-Nov-2023 10:09 AM,finance_119537.pdf,BOQ Comparative Chart,1.0,379269.0,Pratap Singh,INR,"1,476,189",Technical,Opening Summary,Narender verma,26-Oct-2023 12:39 PM,technical_119537.pdf,1,379821,Anil Kumar,21-Oct-2023 06:35 PM,Rejected-Finance,9th lowest,04-Nov-2023,Er Narender Verma,Internal,,Narender verma,04-Nov-2023 10:24 AM,finsummary_119537.pdf (786.13 KB),29-Nov-2023,"INR 1,476,189",60.0,Narender verma,29-Jan-2024 05:05 PM,AOC32.pdf (1233.00 KB),PWD,2023_PWD_80265_2,NIT No.3466-80 dated 12.10.2023,Restoration of rain damages to Kala Amb Paonta Sahib Dehradun road on NH72 (New NH07) Km 46/00 to103/00 (SH Construction of R/wall at RD 58/400 to 58/403 and 58/403 to 58/418) Under FDR 2023-24,Er Narender Verma,Internal,TA Supttd DHD DAO,Narender verma,26-Oct-2023 12:45 PM,26-Oct-2023 01:00 PM,techsummary_119537.pdf (2980.64 KB),PWD,NIT No.3466-80 dated 12.10.2023,2023_PWD_80265_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Corrigendum,Financial Bid,,1.0,Fee/PreQual/Technical,.pdf,E Receipt of cost of Tender Fees and EMD,Restoration of rain damages to Kala Amb Paonta Sahib Dehradun road on NH72 (New NH07) Km 46/00 to103/00 (SH Construction of R/wall at RD 58/400 to 58/403 and 58/403 to 58/418) Under FDR 2023-24,Restoration of rain damages to Kala Amb Paonta Sahib Dehradun road on NH72 (New NH07) Km 46/00 to103/00 (SH Construction of R/wall at RD 58/400 to 58/403 and 58/403 to 58/418) Under FDR 2023-24,refer tender document ,NA ,"29,53,540",Civil Works - Highways,NA ,Tender,75.0,60.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,Executive Engineer NH Division HPPWD Nahan,Executive Engineer NH Division HPPWD Nahan,"59,500",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,13-Oct-2023 05:30 PM,23-Oct-2023 11:30 AM,13-Oct-2023 05:35 PM,22-Oct-2023 05:30 PM,NA ,NA ,13-Oct-2023 05:35 PM,22-Oct-2023 05:30 PM,26-Oct-2023 01:00 PM
,,,,,,,,,,,,,,,,2,379873,BHARDWAJ CONSTRUCTIONS,22-Oct-2023 04:59 PM,Rejected-Finance,8th lowest,04-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3,379903,Bhupender Chauhan,21-Oct-2023 10:39 PM,Rejected-Finance,2nd llowest,04-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration EPF Registration and Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4,379900,imIMRAN SHAH,21-Oct-2023 09:20 PM,Rejected-Finance,6th lowest,04-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid 7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5,379967,JAVED KHAN,22-Oct-2023 03:10 PM,Rejected-Finance,11th lowest,04-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Acknowledgement of upto date filed GST Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6,379971,mehboob hassanb,22-Oct-2023 03:44 PM,Rejected-Finance,12th lowest,04-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of True and correctness of document submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7,379269,Pratap Singh,22-Oct-2023 09:42 AM,Accepted-AOC,L1,03-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of not more than two work in Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,8,379582,Rahul Chuhan,22-Oct-2023 02:34 PM,Rejected-Finance,5th lowest,04-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other document as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,9,379963,REHMAN MOHD,22-Oct-2023 03:57 PM,Rejected-Finance,10th lowest,04-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10,378974,SATISH KUMAR,17-Oct-2023 05:32 PM,Rejected-Finance,7th lowest,04-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
