Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"2,000",Nil,Nil,No,08-Sep-2023 11:00 AM,14-Sep-2023 11:00 AM,08-Sep-2023 11:00 AM,13-Sep-2023 06:00 PM,NA ,NA ,08-Sep-2023 11:00 AM,13-Sep-2023 06:00 PM,20-Sep-2023 11:10 AM,Executive Engineer,HPPWD DIVISION KOTKHAI,"R/R Damages on GPB road in K.M. 0/0 to 28/545, Removal of slips at various RDs between in K.M. 14/00 to 17/00 and C/o, B/Wall in PCC and wire crate at R.D. 14/0/45 to 14/090, 14/100 to 14/250, 14/370 to 14/390, 16/670 to 16/700 and 16/980 to 17/00","R/R Damages on GPB road in K.M. 0/0 to 28/545, Removal of slips at various RDs between in K.M. 14/00 to 17/00 and C/o, B/Wall in PCC and wire crate at R.D. 14/0/45 to 14/090, 14/100 to 14/250, 14/370 to 14/390, 16/670 to 16/700 and 16/980 to 17/00",Please refer Tender documents. ,NA ,"62,87,752",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,1.0,ICICI BANK,PWD,PW-KD-E-Tender/2023-24-2865-69 dtd 2-9-2023,2023_PWD_78582_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,25,800",No,fixed,,Nil,Nil,PWD,2023_PWD_78582_2,PW-KD-E-Tender/2023-24-2865-69 dtd 2-9-2023,"R/R Damages on GPB road in K.M. 0/0 to 28/545, Removal of slips at various RDs between in K.M. 14/00 to 17/00 and C/o, B/Wall in PCC and wire crate at R.D. 14/0/45 to 14/090, 14/100 to 14/250, 14/370 to 14/390, 16/670 to 16/700 and 16/980 to 17/00",Executive Engineer,Internal,"XEN, AE Supdt. HDM",Vinod Shyam,20-Sep-2023 11:08 AM,20-Sep-2023 11:10 AM,techsummary_117182.pdf (2068.35 KB),Executive Engineer,Internal,"XEN, AE, Supdt. HDM",Vinod Shyam,22-Sep-2023 12:34 PM,finsummary_117182.pdf (1094.91 KB),17-Nov-2023,"INR 6,287,752",45.0,Vinod Shyam,17-Nov-2023 05:06 PM,1.pdf (773.00 KB),1.0,371405.0,Anil Chauhan,11-Sep-2023 04:49 PM,Accepted-AOC,Lowest bidder to awarded the wrok,17-Nov-2023,Technical,Summary Updated,Vinod Shyam,20-Sep-2023 11:07 AM,technical_117182.pdf,Finance,Summary uploaded,Vinod Shyam,22-Sep-2023 12:31 PM,finance_117182.pdf,BOQ Comparative Chart,1.0,371405.0,Anil Chauhan,INR,"6,369,991"
,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,371246.0,Ashu Chauhan,13-Sep-2023 01:34 PM,Rejected-Technical,Not Qualified,20-Sep-2023,,,,,,,,,,,,,,,,
,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,371424.0,Hari Bhushan,11-Sep-2023 05:34 PM,Rejected-Finance,L2 BIDDER,22-Sep-2023,,,,,,,,,,,,,,,,
,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
