Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
PWD,BGN/CT-1/2022-23-11172-11203 dated 03.02.2023,2023_PWD_68142_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,Periodical Maintenance on Link road from Majher to Madhan via Chaproh Busal Balh Kholi in Km 4000 to 5000 and Link road TMBD road Pirnigah to Ferri in km 0000 to 1000 SH PL 30mm thick Bituminous Concrete including Profile Correction,Periodical Maintenance on Link road from Majher to Madhan via Chaproh Busal Balh Kholi in Km 4000 to 5000 and Link road TMBD road Pirnigah to Ferri in km 0000 to 1000 SH PL 30mm thick Bituminous Concrete including Profile Correction,Please refer Tender documents. ,NA ,"25,39,067",Civil Works - Roads,NA ,Tender,90.0,90.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,"45,600",No,fixed,,Nil,Nil,06-Feb-2023 10:00 AM,17-Feb-2023 11:00 AM,06-Feb-2023 10:30 AM,17-Feb-2023 09:00 AM,NA ,NA ,06-Feb-2023 10:30 AM,17-Feb-2023 09:00 AM,01-Mar-2023 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode) and Earnest Money (Online mode),1.0,ICICI BANK,1.0,323961.0,B T Construction Company,15-Feb-2023 05:38 PM,Rejected-Finance,L2,14-Mar-2023,Technical,techbidopening,Dev Raj,23-Feb-2023 04:41 PM,technical_102623.pdf,1.0,322902.0,Raj Kumar,INR,"2,522,308",Finance,finbidopeningsumary,Dev Raj,14-Mar-2023 05:32 PM,finance_102623.pdf,BOQ Comparative Chart,Er.Dev Raj EE,Internal,DAOHDMSUPDT,Dev Raj,23-Feb-2023 04:45 PM,01-Mar-2023 11:00 AM,techsummary_102623.pdf (408.94 KB),PWD,2023_PWD_68142_1,BGN/CT-1/2022-23-11172-11203 dated 03.02.2023,Periodical Maintenance on Link road from Majher to Madhan via Chaproh Busal Balh Kholi in Km 4000 to 5000 and Link road TMBD road Pirnigah to Ferri in km 0000 to 1000 SH PL 30mm thick Bituminous Concrete including Profile Correction,25-Nov-2023,"INR 2,522,308",90.0,Piar Singh Dhiman,27-Jan-2024 01:39 PM,AOC.pdf (1055.00 KB),Award,Er. Baldev Singh EE,Internal,DAOHDMSUPDT,Dev Raj,14-Mar-2023 05:39 PM,finsummary_102623.pdf (422.60 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration GST Registration and latest assessment and PAN,2.0,ICICI NEFT/RTGS,2.0,322902.0,Raj Kumar,15-Feb-2023 10:47 AM,Accepted-AOC,L1,30-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format without Liquidated Damage or compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document duly countersigned by the EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the plant should have installed within radius of 30km from the site of work.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department Any other information bidders like to provi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
