Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description
29-Nov-2023,"INR 12,350,808",365.0,SHASHI PAL,11-Dec-2023 03:00 PM,MANISHAWARD.pdf (1131.00 KB),ER. SHASHI PAL,Internal,,SHASHI PAL,06-Nov-2023 12:06 PM,finsummary_116740.pdf (375.79 KB),SHASHI PAL,Internal,TASUPTDDHDDAO,SHASHI PAL,22-Sep-2023 03:53 PM,22-Sep-2023 03:55 PM,techsummary_116740.pdf (303.05 KB),PWD,2023_PWD_78253_4,PW/AD/Tender/23-34 dated 21/08/23,C/o Primary Health Centre Level-II building at Ghanaghughat Tehsil Arki District Solan Himachal Pradesh.,Finance,summary,SHASHI PAL,06-Nov-2023 12:00 PM,,BOQ Comparative Chart,1.0,371342.0,Manishsharma,INR,"12,350,808",Technical,SUMMARY,SHASHI PAL,22-Sep-2023 03:48 PM,,1.0,371342.0,Manishsharma,11-Sep-2023 04:14 PM,Accepted-AOC,L1,11-Dec-2023,1.0,ICICI BANK,PWD,PW/AD/Tender/23-34 dated 21/08/23,2023_PWD_78253_4,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"3,05,200",No,fixed,,Nil,Nil,Executive Engineer,"Arki Division, HPPWD Arki",01-Sep-2023 10:00 AM,12-Sep-2023 11:00 AM,01-Sep-2023 10:30 AM,11-Sep-2023 06:00 PM,01-Sep-2023 10:30 AM ,11-Sep-2023 06:00 PM ,01-Sep-2023 10:30 AM,11-Sep-2023 06:00 PM,22-Sep-2023 03:55 PM,C/o Primary Health Centre Level-II building at Ghanaghughat Tehsil Arki District Solan Himachal Pradesh.,"C/o Primary Health Centre Level-II building at Ghanaghughat Tehsil Arki District Solan HP. (SH- C/o building work, site development ,C/o approach road and boundary wall.Providing water supply and sanitary installation, Rain Harvesting tank and septi",Please refer Tender documents. ,NA ,"1,52,57,329",Civil Works - Buildings,NA ,Tender,90.0,365.0,Arki,173210.0,NA ,NA ,NA ,Arki,No ,No,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from and Earnest Money online mode through E-payment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,371385.0,Manoj Kumar,11-Sep-2023 05:46 PM,Rejected-Finance,reject,06-Nov-2023,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,370658.0,PAWAN KUMAR SHANDIL,09-Sep-2023 03:49 PM,Rejected-Finance,reject,06-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,371388.0,Ranjeet Thakur,11-Sep-2023 04:14 PM,Rejected-Finance,reject,06-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as Per General Rule 26.2.b
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand in accordance with General Rule 24.5 strictly as per schedule F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Skilled/Semi Skilled Tradesmen as per Clause of 19k of GCC.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B
