Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description
Technical,techbidopening,Dev Raj,23-Feb-2023 04:54 PM,technical_102627.pdf,1.0,322899.0,Harpal Singh,15-Feb-2023 05:10 PM,Accepted-AOC,L1,30-Jan-2024,Finance,finbidopeningsummary,Dev Raj,14-Mar-2023 05:52 PM,finance_102627.pdf,BOQ Comparative Chart,1.0,322899.0,Harpal Singh,INR,"3,026,859",Er.Dev Raj EE,Internal,DAOHDMSUPDT,Dev Raj,23-Mar-2023 12:03 PM,finsummary_102627.pdf (514.20 KB),25-Nov-2023,"INR 3,026,859",90.0,Piar Singh Dhiman,27-Jan-2024 01:36 PM,AOC.pdf (783.00 KB),Award,PWD,2023_PWD_68146_1,BGN/CT-1/2022-23-11172-11203 dated 03.02.2023,Periodical Maintenance on Link road Badsala to Kailian Mohalla in Km 0000 to 0600 Link road to Harizen Basti Badsala in Km 0000 to 0600 Link road to Village Harizen Basti Takka in Km 0000 to 0100 and 0300 to 0930 and Link road from Shamshan Ghat,Er.Dev Raj EE,Internal,DAOHDMSUPDT,Dev Raj,23-Feb-2023 04:55 PM,01-Mar-2023 11:00 AM,techsummary_102627.pdf (412.52 KB),Periodical Maintenance on Link road Badsala to Kailian Mohalla in Km 0000 to 0600 Link road to Harizen Basti Badsala in Km 0000 to 0600 Link road to Village Harizen Basti Takka in Km 0000 to 0100 and 0300 to 0930 and Link road from Shamshan Ghat,Periodical Maintenance on Link road Badsala to Kailian Mohalla in Km 0000 to 0600 Link road to Harizen Basti Badsala in Km 0000 to 0600 Link road to Village Harizen Basti Takka in Km 0000 to 0100 and 0300 to 0930 and Link road from Shamshan Ghat,Please refer Tender documents. ,NA ,"29,28,607",Civil Works - Roads,NA ,Tender,90.0,90.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,PWD,BGN/CT-1/2022-23-11172-11203 dated 03.02.2023,2023_PWD_68146_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,"51,500",No,fixed,,Nil,Nil,06-Feb-2023 10:00 AM,17-Feb-2023 11:00 AM,06-Feb-2023 10:30 AM,17-Feb-2023 09:00 AM,NA ,NA ,06-Feb-2023 10:30 AM,17-Feb-2023 09:00 AM,01-Mar-2023 11:00 AM,1.0,ICICI BANK,"1,500",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode) and Earnest Money (Online mode)
,,,,,2.0,322915.0,Raj Kumar,15-Feb-2023 10:22 AM,Rejected-Finance,L2,23-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Contractor Registration GST Registration and latest assessment and PAN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format without Liquidated Damage or compensation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document duly countersigned by the EE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and Non Gazetted officer HPPWD employees related to him
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the plant should have installed within radius of 30km from the site of work.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department Any other information bidders like to provi
