Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,HPSEBL/AED/NIT-125/2023-24,2023_HPSEB_81104_1,Yes,Limited,Percentage,Works,2.0,No,No,Online,No,No,No,"2,610",No,fixed,,Nil,Nil,1.0,ICICI BANK,06-Nov-2023 04:00 PM,15-Nov-2023 11:00 AM,06-Nov-2023 04:30 PM,14-Nov-2023 03:00 PM,NA ,NA ,06-Nov-2023 04:30 PM,14-Nov-2023 03:00 PM,18-Nov-2023 11:45 AM,"Augmentation of 1-phase line at Village Basheel , Providing 3-phase LT extension to LOH of village Sayri , Providing 3-phase LT extension to LOH of Village Jekhari, Providing 3-phase LT extension to LOH of Village Salah, Providing 1-phase LT exten","Augmentation of 1-phase line at Village Basheel , Providing 3-phase LT extension to LOH of village Sayri , Providing 3-phase LT extension to LOH of Village Jekhari, Providing 3-phase LT extension to LOH of Village Salah, Providing 1-phase LT exten",Please refer Tender documents. ,NA ,"2,60,953",Electrical Works,NA ,Tender,180.0,30.0,Under ED Arki,173208.0,NA ,NA ,NA ,ED Arki,No ,No,590.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document fee and earnest money receipt,Sr. Executive engineer,"ED, HPSEBL, Arki",Sr. Executive Engineer,Internal,"Sr.Executive Engineer,Divisional Accountant, AE ESD Darlaghat",Devender Koundal,25-Nov-2023 03:23 PM,finsummary_120743.pdf (504.96 KB),HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,2023_HPSEB_81104_1,HPSEBL/AED/NIT-125/2023-24,"Augmentation of 1-phase line at Village Basheel , Providing 3-phase LT extension to LOH of village Sayri , Providing 3-phase LT extension to LOH of Village Jekhari, Providing 3-phase LT extension to LOH of Village Salah, Providing 1-phase LT exten",1.0,384011.0,VINAY KUMAR SHARMA,INR,"259,648",Finance,financially opened,Devender Koundal,18-Nov-2023 11:56 AM,finance_120743.pdf,BOQ Comparative Chart,Technical,technically opened,Devender Koundal,15-Nov-2023 11:50 AM,technical_120743.pdf,28-Nov-2023,"INR 259,648",30.0,Devender Koundal,28-Nov-2023 04:22 PM,Award113LT.pdf (8555.00 KB),Awarded to Lowest bidder,Sr. Executive Engineer,Internal,"Sr. Executive Engineer, AE,ESD, HPSEBL Darlaghat, Divisional accountant",Devender Koundal,18-Nov-2023 11:31 AM,18-Nov-2023 11:45 AM,techsummary_120743.pdf (504.96 KB),1.0,384152.0,ABS ENTERPRISES,14-Nov-2023 02:02 PM,Rejected-Finance,Higher Rates,25-Nov-2023
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical and comm.work Experience of similar nature of work as per clause no 1.01 and 1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,384005.0,rajinder singh,13-Nov-2023 03:55 PM,Rejected-Finance,Higher Rates,25-Nov-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Class -A contractor Licence as per clause 1.01.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,384011.0,VINAY KUMAR SHARMA,13-Nov-2023 04:15 PM,Accepted-AOC,lowest bid,28-Nov-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of net worth, avg. financial turnover, liquid asset as per clause 1.02.2,1.02.3,1.02.4 fromCA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Bidder shall satisfy Bid capacity as clause 1.02.5 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,In case a bid is submitted by a joint venture all the qualification should be full as clause1.02.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate from banker as per clause 2.01.1 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Litigation history as per clause 2.01.4 ,Non blacklisting Affidavit,No deviation certi.as per Bid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No change of ownership (ITB vol-1,Sec-IIclause2.3.2 and letter of undertaking/Bid validity as per SB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST and EPF registration,pan,self undertake of completion of work and studied all term and condition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
