S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.2,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
1.0,378074.0,Sharma Enterprises,INR,"438,601",HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,2023_HPSEB_79940_1,HPSEBL/BED/DB-Tender JOB.22,HPSEBL/BED/DB-Tender JOB.22,Er. Deepak Verma,Internal,Er. Trilok Sharma (AEE) Sh. Luv Kumar (Supdt. DA),Deepak Verma,07-Nov-2023 03:17 PM,finsummary_119127.pdf (439.75 KB),Er. Deepak Verma,Internal,Er. Trilok Sharma (AEE) Sh. Luv Kumar (Supdt. DA),Deepak Verma,01-Nov-2023 03:32 PM,01-Nov-2023 04:00 PM,techsummary_119127.pdf (415.76 KB),1.0,378348.0,ABS ENTERPRISES,15-Oct-2023 11:05 PM,Rejected-Finance,Rates on higher side of L 1,07-Nov-2023,Finance,Financial Bid Opening Summery,Deepak Verma,07-Nov-2023 03:05 PM,finance_119127.pdf,BOQ Comparative Chart,Technical,Technical Evaluation,Deepak Verma,01-Nov-2023 03:30 PM,technical_119127.pdf,07-Nov-2023,"INR 438,601",90.0,Deepak Verma,07-Nov-2023 03:25 PM,Awardjob22.pdf (4936.00 KB),Award letter,1.0,Extension of time,Date,,Er. Deepak Verma,"Sr. Executive Engineer, Electrical Division, HPSEBL Baddi",HPSEBL/BED/DB-Tender JOB.22,E Tendering on partial turnkey basis for 63 KVA Sub Station Bated alongwith HT LT Line in Section Mandhala and different DTRs 3Ph LT line in Section Jharmajri Section Under Electrical Sub-Division HPSEBL Barotiwala Name of Scheme GSC,A Class Electrical License with Chief Electrical Inspector ,NA ,"5,11,423",Electrical Works,NA ,Tender,180.0,90.0,Baddi,173205.0,NA ,NA ,NA ,Baddi,No ,No,HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,HPSEBL/BED/DB-Tender JOB.22,2023_HPSEB_79940_1,Yes,Open Tender,Turn-key,Works,3.0,No,No,Online,No,No,No,1.0,ICICI BANK,09-Oct-2023 06:00 PM,25-Oct-2023 02:00 PM,10-Oct-2023 09:00 AM,25-Oct-2023 11:00 AM,NA ,NA ,10-Oct-2023 10:00 AM,25-Oct-2023 11:00 AM,01-Nov-2023 04:00 PM,1.0,Fee,.pdf,Scanned copy of tender cost and earnest money,590.0,Nil,Nil,Yes,"5,114",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,2.0,379434.0,Dhiman Enterprises,19-Oct-2023 10:37 PM,Rejected-Finance,Rates on higher side of L 1,07-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,2.0,PreQual/Technical,.pdf,A Class Electrical License with Chief Electrical Inspector,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3.0,378074.0,Sharma Enterprises,14-Oct-2023 04:34 PM,Accepted-AOC,Award of Work,07-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capacity/turnover certificate with CA Certified,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate/Completion Certificate as per SBD Volume I Section III Clause No 1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit for Blacklisting/Change of Ownership/Litigation,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPFO No/ESI No.,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint Venture if Applicable,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,
