Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
07-Nov-2023,"INR 2,856,174",180.0,Anil Kumar Sharma,07-Nov-2023 01:34 PM,75935AWARD.pdf (1259.00 KB),WORKAWARDEDTO SH. PARTEEK THAKUR GOVT. CONTR VIDE TO LETTER NO. 4133-40 DT. 20.07.2023,EXECUTIVEENGINEER,Internal,TA SUPDT DAO HDM AE,Anil Kumar Sharma,07-Nov-2023 01:28 PM,finsummary_113625.pdf (436.66 KB),EXECUTIVEENGINEER,Internal,TA SUPDT DAO HDM AE,Anil Kumar Sharma,13-Jul-2023 10:14 PM,14-Jul-2023 11:30 AM,techsummary_113625.pdf (810.62 KB),PWD,2023_PWD_75935_1,3095-3102 DT. 03.07.2023,C/O Link road to Village Baroh via Bajroh km 0/0 to 2/0,Technical,SUMMARYATTACHED,Anil Kumar Sharma,13-Jul-2023 10:12 PM,technical_113625.pdf,1.0,359746.0,PRATEEK THAKUR GOVT CONTRACTOR,11-Jul-2023 11:18 AM,Accepted-AOC,WORKAWARD,07-Nov-2023,1.0,359746.0,PRATEEK THAKUR GOVT CONTRACTOR,INR,"2,856,174",Finance,SUMMARYATTACHED,Anil Kumar Sharma,07-Nov-2023 01:26 PM,finance_113625.pdf,BOQ Comparative Chart,"1,500",Nil,Nil,No,PWD,3095-3102 DT. 03.07.2023,2023_PWD_75935_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"55,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment (indicated in Sche,C/O Link road to Village Baroh via Bajroh km 0/0 to 2/0,SH MT at RD 0-0 to 0-500 Under OTMNP C-O Link road to Harizan Basti Village Bohan from AWahdevi bye pass km. 0-0 to 2-500 SH PL GSB WMM MT in km 0-0 to 1-0 Under OTMNP,Please refer Tender documents. ,NA ,"27,21,775",Civil Works - Roads,NA ,Rate Contract,60.0,180.0,DIVISIONBHORANJ,176045.0,NA ,NA ,NA ,DIVISIONBHORANJ,No ,No,EE,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",06-Jul-2023 11:45 AM,11-Jul-2023 12:05 PM,06-Jul-2023 11:50 AM,11-Jul-2023 12:00 PM,NA ,NA ,06-Jul-2023 11:55 AM,11-Jul-2023 12:00 PM,14-Jul-2023 11:30 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,359700.0,Vijay Kumar,11-Jul-2023 11:55 AM,Rejected-Finance,L2,07-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration (General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST, PAN, EPF, Labour license a/w TAX CLEARANCE CERTIFICATE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate duly signed by Engineer-in-Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of Machinery as per SBD with proof RC, Affidavit/ lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No. 8 in SBD duly signed by the bidder and witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate C/S by Engineer-in-Charge as per General Rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are correct (Name of works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contractor should not more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder should must be uploaded working programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The participating bidder shall satisfy the XEN that he does not hold more than two incomplete works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder/firm may like to be provided.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
