Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
25-Nov-2023,"INR 813,693",60.0,Rajeev Kumar,25-Nov-2023 01:14 PM,17184navn.pdf (959.00 KB),A/R and M/O Masrond sandhi Mani sirh Sarol road km 11/0 to 24/0 (SH Construction of PCC retaining wall at 11/300 to 11/315,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,09-Feb-2023 03:33 PM,finsummary_99454.pdf (337.76 KB),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,14-Dec-2022 04:58 PM,19-Dec-2022 11:30 AM,techsummary_99454.pdf (232.63 KB),PWD,2022_PWD_66086_1,No.PWC-WA-II- 10932-11031 dated 26.9.2022,A/R and M/O Masrond sandhi Mani sirh Sarol road km 11/0 to 24/0 (SH Construction of PCC retaining wall at 11/300 to 11/315,Technical,BOS,Jeet Singh Thakur,14-Dec-2022 04:42 PM,technical_99454.pdf,1.0,308139.0,DEEPAK KUMAR,12-Oct-2022 06:03 PM,Rejected-Finance,L4,09-Feb-2023,Finance,BOS,Jeet Singh Thakur,01-Feb-2023 11:12 AM,finance_99454.pdf,BOQ Comparative Chart,1.0,308346.0,NAVEEN KUMAR,INR,"696,408",350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form onlyonline mode through e-payment,PWD,No.PWC-WA-II- 10932-11031 dated 26.9.2022,2022_PWD_66086_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,1.0,ICICI BANK,"16,300",No,fixed,,Nil,Nil,A/R and M/O Masrond sandhi Mani sirh Sarol road km 11/0 to 24/0 (SH Construction of PCC retaining wall at 11/300 to 11/315,A/R and M/O Masrond sandhi Mani sirh Sarol road km 11/0 to 24/0 (SH Construction of PCC retaining wall at 11/300 to 11/315,Please refer Tender documents. ,NA ,"8,13,693",Civil Works,NA ,Tender,75.0,60.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,06-Oct-2022 03:00 PM,14-Oct-2022 11:30 AM,06-Oct-2022 03:00 PM,13-Oct-2022 05:00 PM,NA ,NA ,06-Oct-2022 03:00 PM,13-Oct-2022 05:00 PM,19-Dec-2022 11:30 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,308372.0,MANESHWAR SINGH,13-Oct-2022 04:22 PM,Rejected-Finance,L2,09-Feb-2023,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,308346.0,NAVEEN KUMAR,13-Oct-2022 03:21 PM,Accepted-AOC,Work completed,25-Nov-2023,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,308135.0,SURJEET KUMAR GOVT CONTRACTOR,12-Oct-2022 06:08 PM,Rejected-Finance,L3,09-Feb-2023,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
