Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,S.No.1.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Er. D.R. Chauhan Executive Engineer,Internal,Sh. Kamak Kishore Gupta AE JNGEC Sh. Sushil Kumar DAO Gr-I Sh. Tek Singh Supdt. Accounts Sh. Dinesh Kumar HDM,Chaman Singh,17-Jul-2023 11:12 AM,finsummary_111659.pdf (749.08 KB),23-Nov-2023,"INR 2,482,367",60.0,Hitesh Sharma,23-Nov-2023 05:29 PM,AONJNGEC.pdf (496.00 KB),AOC issued to L-I,PWD,2023_PWD_72129_4,PW-SNR-CB-E-Ten/Giriraj- 157-67 dt.6.4.23,Periodical Renewal on Approach road to Jawahar Lal Nehru Govt. Engineering College at Sundernagar,Er. D.R. Chauhan Executive Engineer,Internal,Er. Hitesh Sharma A.E. Sh. Sushil Kumar DAO Gr-I Sh. Dinesh Kumar HDM Sh. Tek Singh Supdt. Accounts,Chaman Singh,27-Jun-2023 02:25 PM,28-Jun-2023 02:00 PM,techsummary_111659.pdf (525.14 KB),Technical,BOS,Chaman Singh,27-Jun-2023 02:12 PM,technical_111659.pdf,1.0,355464.0,Ajmer Singh,20-Jun-2023 09:21 AM,Accepted-AOC,Being L-1,23-Nov-2023,1.0,355464.0,Ajmer Singh,INR,"2,482,367",Finance,FBOS,Hitesh Sharma,01-Jul-2023 01:19 PM,finance_111659.pdf,BOQ Comparative Chart,07-Jun-2023 09:00 AM,23-Jun-2023 11:30 AM,07-Jun-2023 09:00 AM,23-Jun-2023 10:00 AM,NA ,NA ,07-Jun-2023 09:00 AM,23-Jun-2023 10:00 AM,28-Jun-2023 02:00 PM,500.0,EE Sundernagar,Sundernagar,No,Executive Engineer,Executive Engineer HPPWD Division Sunder Nagar,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule E,1.0,Date Corrigendum,Date,,"47,500",Yes,fixed,,EE Sundernagar,Sundernagar,PWD,PW-SNR-CB-E-Ten/Giriraj- 157-67 dt.6.4.23,2023_PWD_72129_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,Periodical Renewal on Approach road to Jawahar Lal Nehru Govt. Engineering College at Sundernagar,"SH Providing and laying renewal coat with 30mm thick bituminous concrete, P/L edge lines at RD 0/0 to 0/786.",As per bid document ,NA ,"23,64,413",Civil Works,Tarring ,Tender,90.0,60.0,In Sunder Nagar Division HPPWD,175018.0,NA ,NA ,NA ,O/O Executive Engineer HPPWD Division Sunder Nagar,No ,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,355503.0,RAJESH KUMAR,22-Jun-2023 05:52 PM,Rejected-Finance,Not found lowest,17-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,The earnest money indicated in schedule E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration alongwith latest uploaded return as per general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant alongwith documentary proof refer schedule F with reference to clause",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 refer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
