Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
07-Nov-2023,"INR 5,889,707",90.0,Suresh Kumar Walia,23-Nov-2023 12:37 PM,Award.pdf (224.00 KB),Award,Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,11-Oct-2023 04:16 PM,finsummary_117925.pdf (188.15 KB),Executive Engineer,Internal,AE DAo Supdt HDM,Suresh Kumar Walia,04-Oct-2023 03:10 PM,05-Oct-2023 11:00 AM,techsummary_117925.pdf (1554.46 KB),PWD,2023_PWD_79112_2,Nagrota 20-9-2023,Restoration of rain damages on Daulatpur Sunhi Sarotari Kandi road Km 3/000 to 14/400 and 20/000 to 33/100 in Distt Kangra (HP),Technical,sum,Suresh Kumar Walia,04-Oct-2023 03:09 PM,technical_117925.pdf,1.0,374446.0,Ankit Garg,28-Sep-2023 12:30 PM,Rejected-Finance,Lowest 2,11-Oct-2023,1.0,373110.0,RAHUL SHARMA,INR,"4,402,555",Finance,sum,Suresh Kumar Walia,11-Oct-2023 04:14 PM,finance_117925.pdf,BOQ Comparative Chart,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,Restoration of rain damages on Daulatpur Sunhi Sarotari Kandi road Km 3/000 to 14/400 and 20/000 to 33/100 in Distt Kangra (HP),"Construction of retaining wall, Breast wall, road side drain, repair of culverts, wire crate protection work, providing and fixing crash barriers and cement concrete pavement road in various reaches between Km 3/000 to 14/400",Please refer Tender documents. ,NA ,"58,89,707",Civil Works - Roads,NA ,Tender,120.0,90.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,20-Sep-2023 05:00 PM,29-Sep-2023 11:00 AM,20-Sep-2023 05:00 PM,29-Sep-2023 10:00 AM,NA ,NA ,20-Sep-2023 05:00 PM,29-Sep-2023 10:00 AM,05-Oct-2023 11:00 AM,"2,000",Nil,Nil,No,"1,17,800",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,Nagrota 20-9-2023,2023_PWD_79112_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,373110.0,RAHUL SHARMA,28-Sep-2023 10:38 PM,Accepted-AOC,Award,23-Nov-2023,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,374763.0,Rohit,28-Sep-2023 11:41 AM,Rejected-Finance,Lowest 4,11-Oct-2023,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,374971.0,Saurabh Vashishath,29-Sep-2023 09:15 AM,Rejected-Technical,Document not received as per requirement,04-Oct-2023,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,374961.0,Shadil Thakur,29-Sep-2023 08:38 AM,Rejected-Finance,Lowest 3,11-Oct-2023,,,,,,,,,,,,,,.pdf,Under taking that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
