S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description
1.0,276920.0,JITENDER KUMAR GOVT CONT,INR,"1,993,319",Finance,Bid opening summary,Sudhir Kumar Gupta,16-Apr-2022 01:09 PM,finance_89145.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Sudhir Kumar Gupta,13-Apr-2022 01:17 PM,technical_89145.pdf,1.0,277211.0,ABHAY MEHTA,12-Apr-2022 05:20 PM,Rejected-Finance,2nd Lowest,23-May-2022,ErSudhirGupta,Internal,ShSureshKumarHDMShManojKumarSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,23-May-2022 01:02 PM,finsummary_89145.pdf (888.29 KB),25-Nov-2023,"INR 2,271,743",90.0,Bhupender Singh,25-Nov-2023 10:56 AM,AOC58936_1.pdf (888.00 KB),AOC,PWD,2022_PWD_58936_1,SD-I-CTR-Tender-31676 dt 30-03-2022,R/O Damages due to digging for laying of OFC by jio reliance Ltd Kufri chail road km. 0/00 to 25/00,ErSudhirGupta,Internal,ShSureshKumarHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,13-Apr-2022 01:18 PM,13-Apr-2022 03:00 PM,techsummary_89145.pdf (763.67 KB),500.0,Nil,Nil,No,1.0,ICICI BANK,PWD,SD-I-CTR-Tender-31676 dt 30-03-2022,2022_PWD_58936_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,R/O Damages due to digging for laying of OFC by jio reliance Ltd Kufri chail road km. 0/00 to 25/00,P/F W Metal Beam Crash Barrier between RD. 0/00 to 1/480,As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,90.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,"45,500",No,fixed,,Nil,Nil,07-Apr-2022 10:00 AM,13-Apr-2022 11:00 AM,07-Apr-2022 10:00 AM,13-Apr-2022 10:00 AM,NA ,NA ,07-Apr-2022 10:00 AM,13-Apr-2022 10:00 AM,13-Apr-2022 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F)
,,,,,,,,,,,,,,,,2.0,276920.0,JITENDER KUMAR GOVT CONT,11-Apr-2022 05:32 PM,Accepted-AOC,Awarded,25-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD with UTR No (As per schedule F)
,,,,,,,,,,,,,,,,3.0,276925.0,KISHOR KUMAR GOVT CONT,11-Apr-2022 05:43 PM,Rejected-Finance,5th Lowest,23-May-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23)
,,,,,,,,,,,,,,,,4.0,277287.0,RAMESH VIJ,13-Apr-2022 08:14 AM,Rejected-Finance,4th Lowest,23-May-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.18)
,,,,,,,,,,,,,,,,5.0,277138.0,suresh jagta,12-Apr-2022 03:04 PM,Rejected-Finance,3rd Lowest,23-May-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.16 counter signed by EE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 8 (submit the original as per schedule time and date)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees
