Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
PWD,NHD 5431-67 dated 07.10.2023,2023_PWD_80163_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,National Highway Division Hamirpur,National Highway Division Hamirpur,1.0,corrigendum,Date,,12-Oct-2023 06:30 PM,20-Oct-2023 11:30 AM,12-Oct-2023 06:30 PM,19-Oct-2023 06:50 PM,NA ,NA ,12-Oct-2023 06:30 PM,19-Oct-2023 06:50 PM,23-Oct-2023 11:30 AM,500.0,Nil,Nil,Yes,"42,600",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Online tender fee,Restoration of rain damages on NH-70 (New NH-03),C/o R/wall at RD 71/110 to 71/120 (R.H.S)2023-24 in the state of H.P. FDR(NEW) Job No. RO-HP-NH-70(03)-2023-24-017,Please refer Tender documents. ,NA ,"21,28,63,300",Civil Works,NA ,Tender,90.0,NA ,Hamirpur,177001.0,NA ,NA ,NA ,National Highway Division Hamirpur,No ,No,1.0,379352.0,ANUP THAKUR,19-Oct-2023 04:59 PM,Rejected-Technical,Non Responsive,21-Oct-2023,Technical,pretechbid,Hari Ram,20-Oct-2023 03:15 PM,technical_119424.pdf,Finance,finsummary,Hari Ram,23-Oct-2023 12:17 PM,finance_119424.pdf,BOQ Comparative Chart,1.0,378981.0,Manoj Kumar Govt. Contractor,INR,"2,197,115",EE,Internal,DHD/SUPDT/DAO,Hari Ram,21-Oct-2023 11:44 AM,23-Oct-2023 11:30 AM,techsummary_119424.pdf (3734.36 KB),PWD,2023_PWD_80163_2,NHD 5431-67 dated 07.10.2023,Restoration of rain damages on NH-70 (New NH-03),25-Nov-2023,"INR 2,128,633",60.0,Hari Ram,16-Jan-2024 02:45 PM,ManojKumar.pdf (543.00 KB),AOC,EE,Internal,SUPDT/DHD/DAO,Hari Ram,27-Oct-2023 12:28 PM,finsummary_119424.pdf (438.27 KB)
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,2.0,corrigendum,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,.pdf,Online EMD,,,,,,,,,,,,,,,,,,,2.0,379060.0,Gulam Mohamad,19-Oct-2023 05:29 PM,Rejected-Technical,Non Responsive,21-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,3.0,378981.0,Manoj Kumar Govt. Contractor,18-Oct-2023 10:20 PM,Accepted-AOC,Lowest,30-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,4.0,379208.0,Mukesh Kumar,18-Oct-2023 06:59 PM,Rejected-Finance,Higher,27-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate as per SBD,,,,,,,,,,,,,,,,,,,5.0,379099.0,RAKESH KUMAR,18-Oct-2023 09:41 PM,Rejected-Finance,Higher,27-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
