S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
1.0,298356.0,MANOHAR SINGH,INR,"1,381,586",Finance,Bid opening summary,Naveen Singh Kaundal,07-Oct-2022 04:34 PM,finance_96684.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Naveen Singh Kaundal,03-Oct-2022 04:30 PM,technical_96684.pdf,1.0,298356.0,MANOHAR SINGH,03-Sep-2022 02:15 PM,Accepted-AOC,AOC,07-Nov-2023,Er Suresh Kumar Chandel,Internal,"Sh Rajesh Chauhan DAO, Sh Ghanshyam Sharma Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,12-Oct-2022 12:34 PM,finsummary_96684.pdf (461.73 KB),07-Nov-2023,"INR 1,597,921",30.0,Naveen Singh Kaundal,07-Nov-2023 05:24 PM,AOCChberichowki.pdf (294.00 KB),AOC,PWD,2022_PWD_64201_2,PW-SRDD-CB-CTR-2022-13396-445 dt. 16-08-2022,C/O link road from Chebri to Chowki km. 0/00 to 0/700,Er Suresh Kumar Chandel,Internal,"Sh Rajesh Chauhan DAO, Sh Ghanshyam Sharma Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,04-Oct-2022 12:46 PM,06-Oct-2022 11:00 AM,techsummary_96684.pdf (590.25 KB),PWD,PW-SRDD-CB-CTR-2022-13396-445 dt. 16-08-2022,2022_PWD_64201_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"32,000",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,Executive Engineer,Shimla Rural Division HPPWD Dhami,27-Aug-2022 06:55 PM,06-Sep-2022 11:00 AM,27-Aug-2022 06:55 PM,05-Sep-2022 06:00 PM,NA ,NA ,27-Aug-2022 06:55 PM,05-Sep-2022 06:00 PM,06-Oct-2022 11:00 AM,1.0,ICICI BANK,C/O link road from Chebri to Chowki km. 0/00 to 0/700,"SH- Providing and Laying G- 11, G-111, and M/T work in km 0/00 to 0/700.",as per tender documents ,NA ,"15,97,921",Civil Works - Roads,NA ,Tender,75.0,30.0,Dhami,171103.0,NA ,NA ,NA ,Shimla Rural Division HPPWD Dhami,No ,No
,,,,,,,,,,,,,,,,2.0,299351.0,Om Prakash,05-Sep-2022 04:34 PM,Rejected-Finance,L-2 bidder,12-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,298789.0,Rajinder Singh,04-Sep-2022 09:52 PM,Rejected-Finance,L-3 bidder,12-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand as Per General Rule 24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 22 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
