EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"22,300",No,fixed,,Nil,Nil,PWD,No.PWC-WA-II- 8702-801 dated 27.8.2022,2022_PWD_64609_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,500.0,Nil,Nil,No,"Executive Engineer, Chamba Division HPPWD Chamba","Executive Engineer, Chamba Division HPPWD Chamba",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form only mode through e-payment,Repair of Primary School at Udaipur in Tehsil and Distt. Chamba,Repair of Primary School at Udaipur in Tehsil and Distt. Chamba,Please refer Tender documents. ,NA ,"11,13,783",Civil Works - Buildings,NA ,Tender,75.0,60.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer, Chamba Division HPPWD Chamba",No ,No,07-Sep-2022 01:00 PM,15-Sep-2022 11:30 AM,07-Sep-2022 01:00 PM,14-Sep-2022 05:00 PM,NA ,NA ,07-Sep-2022 01:00 PM,14-Sep-2022 05:00 PM,29-Sep-2022 11:30 AM,1.0,300922.0,Pradeep Sharma,INR,"1,039,140",Finance,BOS,Jeet Singh Thakur,07-Oct-2022 07:53 PM,finance_97252.pdf,BOQ Comparative Chart,1.0,300719.0,DHEERAJ PURI,13-Sep-2022 07:56 AM,Rejected-Finance,3rd lowest,07-Oct-2022,Technical,BOS,Jeet Singh Thakur,24-Sep-2022 08:16 PM,technical_97252.pdf,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,24-Sep-2022 08:17 PM,29-Sep-2022 11:30 AM,techsummary_97252.pdf (218.75 KB),PWD,2022_PWD_64609_6,No.PWC-WA-II- 8702-801 dated 27.8.2022,Repair of Primary School at Udaipur in Tehsil and Distt. Chamba,25-Nov-2023,"INR 1,113,783",60.0,Rajeev Kumar,25-Nov-2023 12:26 PM,12054.pdf (1156.00 KB),Repair of Primary School at Udaipur in Tehsil and Distt. Chamba,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,07-Oct-2022 07:56 PM,finsummary_97252.pdf (207.08 KB)
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Earnest Money only mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,300922.0,Pradeep Sharma,14-Sep-2022 01:23 PM,Accepted-AOC,Work completed,25-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule and directions No.20 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,301176.0,UMESH KUMAR MAHAJAN,14-Sep-2022 03:53 PM,Rejected-Finance,3rd lowest,07-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of ongoing work/Work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery, documentary proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD form -7/8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit /undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
