Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Printing and Stationery Department,writing and printing paper,2020_HPPNS_38659_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Offline,No,No,No,500.0,Controller Printing and Stationery Dept. HP,Shimla,Yes,Controlller,Printing and Stationery Department HP Shimla5,1.0,BOQ Changed and Tender Form,BOQ,,writing and printing paper,writing and printing paper,Please refer Tender documents. ,NA ,"10,86,44,694",Miscellaneous Goods,Writing and Printing Paper ,Rate Contract,90.0,240.0,As Per Tender Document,171005.0,NA ,NA ,NA ,Printing and Stationery Department HP Shimla5,No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and Earnest Money as per Tender Document,1.0,DD - Demand Draft,06-Jul-2020 06:55 PM,28-Jul-2020 11:30 AM,06-Jul-2020 06:55 PM,28-Jul-2020 11:00 AM,NA ,NA ,14-Jul-2020 06:55 PM,28-Jul-2020 11:00 AM,25-Sep-2020 02:40 PM,"5,00,000",Yes,fixed,,Controller Printing and Stationery Dept. HP,Shimla,AOC,23-Jul-2021,"INR 83,243,395",240.0,Naresh Verma,23-Jul-2021 12:02 PM,AOC38659.pdf (540.00 KB),Supply order issued during financial year 2020-2021,Technical,Successfully opened,Vijay Choudhary,28-Jul-2020 03:46 PM,technical_57096.pdf,Finance,Successfully Opened,Vijay Choudhary,25-Sep-2020 03:52 PM,finance_57096.pdf,BOQ Comparative Chart,1,169865,Computer Care,27-Jul-2020 07:46 PM,Rejected-Finance,Item Wise Higher Amount Quoted,23-Jul-2021 11:59 AM,Controller Printing and Stationery Department,Internal,Kindly see the attachment,Naresh Verma,25-Sep-2020 02:08 PM,25-Sep-2020 02:40 PM,techsummary_57096.pdf (4427.10 KB),Controller Printing and Stationery Department,Internal,Kindly see the attachment,Naresh Verma,23-Jul-2021 11:59 AM,finsummary_57096.pdf (539.74 KB),Printing and Stationery Department,2020_HPPNS_38659_1,writing and printing paper,writing and printing paper,1.0,167876.0,D P PAPERS PVT LTD.,INR,"12,007,080",AOC
,,,,,,,,,,,,,,,,,,,,2.0,Revised Tender Form,Other,,,,,,,,,,,,,,,,,,,,,,.pdf,Sample as per NIT and Tender Document,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,169832,Deepak Printers and Publishers,27-Jul-2020 05:02 PM,Rejected-Finance,Item Wise Higher Amount Quoted,23-Jul-2021 11:59 AM,,,,,,,,,,,,,,,,,,2.0,167886.0,D M CORPORATION,INR,"11,065,378",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and Latest Income Tax and sales tax clearance Certificate as per Tender Document,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,167886,D M CORPORATION,24-Jul-2020 05:54 PM,Accepted-AOC,Item Wise Award,23-Jul-2021 12:02 PM,,,,,,,,,,,,,,,,,,3.0,168710.0,STERLING ENTERPRISES,INR,"70,610",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Test Report and Affadavit as per NIT and Tender Form,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,167876,D P PAPERS PVT LTD.,27-Jul-2020 07:07 PM,Accepted-AOC,Item Wise Award,23-Jul-2021 12:02 PM,,,,,,,,,,,,,,,,,,4.0,169765.0,Radex Stationery India Pvt. Ltd.,INR,"339,696",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Any other documents required as per Tender Document, NIT and Terms and Conditions",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,169810,groveson,26-Jul-2020 11:38 AM,Accepted-AOC,Item Wise Award,23-Jul-2021 12:02 PM,,,,,,,,,,,,,,,,,,5.0,169810.0,groveson,INR,"1,875,130",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid(BOQ),,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,168150,HARYANA PAPER CONVERTING INDUSTRIES,25-Jul-2020 02:25 PM,Rejected-Finance,Item Wise Higher Amount Quoted,23-Jul-2021 11:59 AM,,,,,,,,,,,,,,,,,,6.0,169830.0,PAPER PLANET,INR,"53,002,642",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,169827,kashvi enterprises,26-Jul-2020 02:27 PM,Rejected-Finance,Item Wise Higher Amount Quoted,23-Jul-2021 11:59 AM,,,,,,,,,,,,,,,,,,7.0,169970.0,PARMAR BINDING HOUSE,INR,"4,882,859",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,169830,PAPER PLANET,27-Jul-2020 05:25 PM,Accepted-AOC,Item Wise Award,23-Jul-2021 12:02 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,169970,PARMAR BINDING HOUSE,27-Jul-2020 02:45 PM,Accepted-AOC,Item Wise Award,23-Jul-2021 12:02 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,169765,Radex Stationery India Pvt. Ltd.,27-Jul-2020 06:38 PM,Accepted-AOC,Item Wise Award,23-Jul-2021 12:02 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
