Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Contractor registration (as per tender conditions),1.0,ICICI BANK,26-Mar-2021 11:00 AM,09-Apr-2021 11:00 AM,26-Mar-2021 11:00 AM,08-Apr-2021 05:00 PM,NA ,NA ,26-Mar-2021 11:00 AM,08-Apr-2021 05:00 PM,01-Jun-2021 11:00 AM,"1,08,700",No,fixed,,Nil,Nil,Executive Engineer,HPSIDC Ltd. Shimla,"5,900",Nil,Nil,No,Providing flood protection work in left bank of Chanour Khad RD 1195 to 1555 to protect Ind. Area at Chanour Distt. Kangra (HP).,Providing flood protection work in left bank of Chanour Khad RD 1195 to 1555 to protect Ind. Area at Chanour Distt. Kangra (HP).,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,120.0,Chanour (Kangra),176402.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,HP SIDC Limited,Job No. 2,2021_SIDC_45973_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,1.0,207900.0,Harmeet Singh,INR,"9,894,245",10-Jun-2021,"INR 9,894,245",120.0,Sushant Singh Negi,28-Jul-2021 04:25 PM,harmeetchanour.pdf (2727.00 KB),Award letter,HP SIDC Limited,2021_SIDC_45973_1,Job No. 2,Providing flood protection work in left bank of Chanour Khad RD 1195 to 1555 to protect Ind. Area at Chanour Distt. Kangra (HP).,SE,Internal,"DM, AE(HQ), EE(HQ)",Sushant Singh Negi,05-Jun-2021 10:13 AM,finsummary_69189.pdf (793.16 KB),Finance,Financial summary,Sushant Singh Negi,05-Jun-2021 09:58 AM,finance_69189.pdf,BOQ Comparative Chart,1.0,207906.0,Ajmer Singh Govt. Contractor,08-Apr-2021 03:02 PM,Rejected-Finance,Third lowest bidder,05-Jun-2021 10:13 AM,SE,Internal,"DM, AE(HQ), EE(HQ)",Sushant Singh Negi,31-May-2021 03:32 PM,01-Jun-2021 11:00 AM,techsummary_69189.pdf (606.08 KB),Technical,Tender opening summary,Sushant Singh Negi,31-May-2021 03:25 PM,None,AOC
,,.pdf,Signed copy of agreement form and approved make for materials,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,207878.0,HARBANS SINGH,08-Apr-2021 04:15 PM,Rejected-Finance,Fourth lowest bidder,05-Jun-2021 10:13 AM,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that the information furnished with the bid documents is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,207900.0,Harmeet Singh,08-Apr-2021 02:07 PM,Accepted-AOC,Award letter of lowest bidder,28-Jul-2021 04:25 PM,,,,,,,,,,,,,AOC
,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,207854.0,SUBHASH CHAND,08-Apr-2021 01:35 PM,Rejected-Finance,Second lowest bidder,05-Jun-2021 10:13 AM,,,,,,,,,,,,,AOC
,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of successfully completed work done certificate as per tender condition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Details of machineries equipments / technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Details of existing commitment s / ongoing work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of financial Turn over (With breakup),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
