Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
28-May-2021 05:00 PM,15-Jun-2021 03:00 PM,28-May-2021 05:00 PM,15-Jun-2021 09:00 AM,NA ,NA ,28-May-2021 05:00 PM,15-Jun-2021 09:00 AM,30-Jun-2021 04:15 PM,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,1MC-NLG(a)2020-21-18,2021_UDDHP_47799_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"3,500",No,fixed,,EO MC Nalagarh,Nalagarh,1.0,DD - Demand Draft,500.0,EO MC Nalagarh,Nalagarh,No,C/O protection wall back side Baba Balak Nath Temple Sarai building in ward no. 3 Nalagarh.,C/O protection wall back side Baba Balak Nath Temple Sarai building in ward no. 3 Nalagarh.,Please refer Tender documents. ,NA ,"1,73,664",Civil Works,NA ,Tender,90.0,90.0,Nalagarh,174101.0,NA ,NA ,NA ,M C Nalagarh,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,EO M C,Municipal Council Nalagarh,AOC,Sanjay Kumar,Internal,"President, EO, AE.",Lalit Katoch,31-Jul-2021 04:08 PM,finsummary_71682.pdf (188.94 KB),1.0,216407.0,Hardeep Singh Bedi,INR,"267,641.44",Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,2021_UDDHP_47799_1,1MC-NLG(a)2020-21-18,C/O protection wall back side Baba Balak Nath Temple Sarai building in ward no. 3 Nalagarh.,1.0,216956.0,Ajay Thakur,14-Jun-2021 10:17 PM,Rejected-Finance,Rejected being L4,31-Jul-2021 04:08 PM,Sanjay Kumar,Internal,"EO, AE, JE",Lalit Katoch,30-Jun-2021 04:11 PM,30-Jun-2021 04:15 PM,techsummary_71682.pdf (221.17 KB),31-Jul-2021,"INR 267,641.44",90.0,Lalit Katoch,31-Jul-2021 04:09 PM,AOCBABA.pdf (364.00 KB),Work awarded,Technical,Bid opening summery,Sanjay Kumar,22-Jun-2021 12:07 PM,technical_71682.pdf,Finance,Bid opening Summery,Sanjay Kumar,30-Jun-2021 04:49 PM,finance_71682.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,AOC,,,,,,,,,,,,,,,,2.0,216543.0,Gurmeet Singh & Co,13-Jun-2021 07:53 PM,Rejected-Finance,Rejected being L2,31-Jul-2021 04:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,AOC,,,,,,,,,,,,,,,,3.0,216407.0,Hardeep Singh Bedi,12-Jun-2021 09:18 PM,Accepted-AOC,Being L1,31-Jul-2021 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,AOC,,,,,,,,,,,,,,,,4.0,216922.0,JAGDEEP THAKUR,14-Jun-2021 06:53 PM,Rejected-Finance,Rejected being L3,31-Jul-2021 04:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,AOC,,,,,,,,,,,,,,,,5.0,216873.0,RAM AVTAR,14-Jun-2021 05:05 PM,Rejected-Technical,Physical Doc not received,30-Jun-2021 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
