Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
HP SIDC Limited,2020_SIDC_39274_1,Job No. 1,Construction of Sub Employment Exchange building at Nadaun Distt. Hamirpur (HP).,SE,Internal,"DM, AE(HQ), Dy. manager(P), EE(HQ)",Vikram Jeet,05-Sep-2020 04:36 PM,finsummary_57950.pdf (482.49 KB),1.0,172876.0,Sanjay Kumar,INR,"6,664,058",07-Nov-2020,"INR 6,664,058",365.0,Sushant Singh Negi,29-Jul-2021 10:22 AM,nadaun.pdf (2494.00 KB),Award letter,1.0,172103.0,AIDANT IMPLEMENTATION PRIVATE LIMITED,11-Aug-2020 10:21 PM,Rejected-Finance,Fourth lowest bidder,05-Sep-2020 04:37 PM,Technical,Technical summary,Sushant Singh Negi,02-Sep-2020 04:11 PM,technical_57950.pdf,SE,Internal,"DM, AE(HQ), EE(HQ)",Sushant Singh Negi,02-Sep-2020 04:13 PM,03-Sep-2020 11:00 AM,techsummary_57950.pdf (754.60 KB),Finance,Financial summary,Vikram Jeet,05-Sep-2020 04:25 PM,finance_57950.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Contractor registration (as per tender conditions),1.0,ICICI BANK,"91,200",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,24-Jul-2020 02:00 PM,14-Aug-2020 11:00 AM,24-Jul-2020 02:00 PM,13-Aug-2020 05:00 PM,NA ,NA ,24-Jul-2020 02:00 PM,13-Aug-2020 05:00 PM,03-Sep-2020 11:00 AM,Construction of Sub Employment Exchange building at Nadaun Distt. Hamirpur (HP).,Construction of Sub Employment Exchange building at Nadaun Distt. Hamirpur (HP).,Please refer Tender documents. ,NA ,"58,69,318",Civil Works - Buildings,NA ,Tender,120.0,365.0,Nadaun,177033.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,HP SIDC Limited,Job No. 1,2020_SIDC_39274_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPSIDC Ltd. Shimla,"5,900",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,171539.0,Bhag Singh,10-Aug-2020 03:41 PM,Rejected-Technical,The successfully completed similar type of one work not less than 40 percent of estimated cost during last five years (without liquidated damage or compensation) has not submitted as per tender condition,02-Sep-2020 04:14 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Signed copy of agreement form,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,172811.0,Ramesh Chand Govt. Contractor,13-Aug-2020 02:04 PM,Rejected-Finance,Second lowest bidder,05-Sep-2020 04:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,172876.0,Sanjay Kumar,13-Aug-2020 01:41 PM,Accepted-AOC,award work,29-Jul-2021 10:22 AM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5.0,172934.0,SUNIL KUMAR CONT,13-Aug-2020 01:36 PM,Rejected-Finance,Third lowest bidder,05-Sep-2020 04:37 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of successfully completed work done certificate (as per tender condition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of annual financial turn over with breakup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Detail of Machinery/ equipment and skilled engineers/ technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
