Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Tender Stage
27-Jul-2021,"INR 2,984,873",180.0,Ankit Kumar,27-Jul-2021 04:06 PM,Award.pdf (482.00 KB),Award,Dr Suresh Kumar Walia,Internal,Er Vinay AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,19-Jul-2021 04:12 PM,finsummary_73271.pdf (185.07 KB),Dr Suresh Kumar walia,Internal,Er VInay Mehra AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,12-Jul-2021 02:22 PM,15-Jul-2021 02:00 PM,techsummary_73271.pdf (901.59 KB),PWD,2021_PWD_48894_1,PWD- Civil-2526-56-Tanda,Special Repair to Super Specialty Block at Dr. R.P. Govt. Medical College Tanda in Distt. Kangra (H.P.),Finance,Sum,Suresh Kumar Walia,19-Jul-2021 04:10 PM,finance_73271.pdf,BOQ Comparative Chart,1.0,220493.0,VENYA CONSTRUCTIONS AND SUPPLIER,INR,"2,984,873",Technical,Sum,Suresh Kumar Walia,12-Jul-2021 02:20 PM,technical_73271.pdf,1.0,220959.0,Ms VIRENDER SINGH,05-Jul-2021 03:18 PM,Rejected-Technical,Not Fulfill Criteria,12-Jul-2021 02:22 PM,AOC,Special Repair to Super Specialty Block at Dr. R.P. Govt. Medical College Tanda in Distt. Kangra (H.P.),"Repair to plaster in patches, aluminium work, ceiling, painting, polishing, water supply and sanitary installation etc. in G.F., 1st, 2nd, 3rd and 4th floor.",Please refer Tender documents. ,NA ,"25,75,660",Civil Works - Buildings,NA ,Tender,120.0,180.0,Tanda,176002.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Tanda,No ,No,"46,200",No,fixed,,Nil,Nil,PWD,PWD- Civil-2526-56-Tanda,2021_PWD_48894_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender Form,22-Jun-2021 11:00 AM,06-Jul-2021 11:30 AM,22-Jun-2021 11:00 AM,05-Jul-2021 06:00 PM,NA ,NA ,22-Jun-2021 11:00 AM,05-Jul-2021 06:00 PM,15-Jul-2021 02:00 PM,"1,500",Nil,Nil,No,Executive Engineer,Executive Engineer HP PWD Division Tanda,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,220493.0,VENYA CONSTRUCTIONS AND SUPPLIER,01-Jul-2021 02:04 PM,Accepted-AOC,Lowest 1,27-Jul-2021 04:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,219965.0,VIJAY KUMAR BATRA GOVT CONTRACTOR,01-Jul-2021 02:54 PM,Rejected-AOC,Lowest 2,27-Jul-2021 04:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF No,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,AOC
