Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Tender Stage
Improvement of black spot on Hamirpur Sujanpur road Km 0/0 to 2/500 (SH Providing fixing W-metal beam crash barrier,three layer at RD 0/420 to 0/488,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"10,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,350.0,Nil,Nil,No,PWD,Imp. of black spot on Hamirpur Sujanpur road,2021_PWD_47002_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,29-Apr-2021 09:00 AM,10-May-2021 11:30 AM,29-Apr-2021 09:00 AM,10-May-2021 10:30 AM,NA ,NA ,29-Apr-2021 09:00 AM,10-May-2021 10:30 AM,28-May-2021 11:00 AM,EE Hamirpur,Executive Engineer HPPWD Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,AOC,PWD,2021_PWD_47002_1,Imp. of black spot on Hamirpur Sujanpur road,Improvement of black spot on Hamirpur Sujanpur road Km 0/0 to 2/500 (SH Providing fixing W-metal beam crash barrier,EE Hamirpur,Internal,SupdtHDMSupdt,Vivek Sharma,27-May-2021 06:17 PM,28-May-2021 11:00 AM,techsummary_70587.pdf (1831.22 KB),1.0,211436.0,ankush kapil,06-May-2021 03:10 PM,Rejected-AOC,l2,27-Jul-2021 06:41 AM,Technical,Attached,Vivek Sharma,12-May-2021 04:38 PM,technical_70587.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate AS PER SBD GENERAL RULES AND DIRECTIONS-16,AOC,,,,,,,,,,,,2.0,211184.0,hoshiar singh govt contractor,05-May-2021 03:58 PM,Rejected-Technical,Rejected,27-May-2021 06:17 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,AOC,,,,,,,,,,,,3.0,211755.0,Pankaj Thakur,10-May-2021 12:02 AM,Rejected-AOC,l3,27-Jul-2021 06:41 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,AOC,,,,,,,,,,,,4.0,211721.0,SATISH KUMAR SHARMA,10-May-2021 09:48 AM,Accepted-AOC,l1,27-Jul-2021 06:41 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration and GST and EPF Clearness latest statement,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery as per SBD with proof,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and upload,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
