Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Stage
XEN Rahul Sood,Internal,HDM DAO Supdt. Gr-II,Rahul Sood,20-Jul-2021 04:47 PM,finsummary_71137.pdf (189.35 KB),20-Jul-2021,"INR 4,207,319",90.0,Rahul Sood,20-Jul-2021 04:50 PM,sunil.pdf (254.00 KB),PWD,2021_PWD_47383_1,BHNR -EA-Tender/2020-21- 438-43 dated 28.04.2021,Periodical maintenance of Karchham Sangla Chhitkul road MDR 099 under Annual Maintenance plan for the year 2021.22 SH. Providing and laying 20mm thick premix carpet and seal coat in km 22.0 to 24.0 and 36.0 to 37.0,XEN Rahul Sood,Internal,HDM DAO Supdt. Gr-II,Rahul Sood,24-May-2021 04:32 PM,24-May-2021 04:40 PM,techsummary_71137.pdf (189.35 KB),Technical,Technical summary,Rahul Sood,24-May-2021 04:23 PM,technical_71137.pdf,1.0,212414.0,RIPAN KUMAR,14-May-2021 09:11 PM,Rejected-AOC,due to L2,20-Jul-2021 04:50 PM,1.0,212407.0,SUNIL KUMAR VIJ CONTRCATOR,INR,"4,296,269",Finance,summary,Rahul Sood,20-Jul-2021 04:43 PM,finance_71137.pdf,BOQ Comparative Chart,AOC,11-May-2021 03:25 PM,24-May-2021 11:00 AM,11-May-2021 03:25 PM,22-May-2021 06:00 PM,NA ,NA ,11-May-2021 03:30 PM,22-May-2021 06:00 PM,24-May-2021 04:40 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"2,000",EE Bhabanagar,Sungra/Bhabanagar,No,Periodical maintenance of Karchham Sangla Chhitkul road MDR 099 under Annual Maintenance plan for the year 2021.22 SH. Providing and laying 20mm thick premix carpet and seal coat in km 22.0 to 24.0 and 36.0 to 37.0,Periodical maintenance of Karchham Sangla Chhitkul road MDR 099 under Annual Maintenance plan for the year 2021.22 SH. Providing and laying 20mm thick premix carpet and seal coat in km 22.0 to 24.0 and 36.0 to 37.0,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,120.0,90.0,Sangla,172115.0,NA ,NA ,NA ,Bhabanagar,No ,No,"70,610",No,fixed,,EE Bhabanagar,Sungra/Bhabanagar,Executive Engineer,Karchham Division HP.PWD Bhabanagar,PWD,BHNR -EA-Tender/2020-21- 438-43 dated 28.04.2021,2021_PWD_47383_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,213131.0,Shamsher Singh,21-May-2021 11:50 AM,Rejected-Technical,Non Responsive,24-May-2021 04:32 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Earnest Money Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,212407.0,SUNIL KUMAR VIJ CONTRCATOR,14-May-2021 07:59 PM,Accepted-AOC,awarded,20-Jul-2021 04:50 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Detail of work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant , Technical Staff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Financial reports for the last five years Turn over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
