EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"16,550",No,fixed,,Nil,Nil,Construction of link road to village Kchrehar road Km 0/000 to 1/200 in Distt Kangra (HP) Telecom Deposit (SH-Providing and laying interlocking pavers block in Km 0/000 to 0/600).,Construction of link road to village Kchrehar road Km 0/000 to 1/200 in Distt Kangra (HP) Telecom Deposit (SH-Providing and laying interlocking pavers block in Km 0/000 to 0/600).,Please refer Tender documents. ,NA ,"8,25,585",Civil Works - Roads,NA ,Tender,120.0,90.0,Tanda,176002.0,NA ,NA ,NA ,Executive Engineer,No ,No,23-Apr-2021 05:00 PM,07-May-2021 11:30 AM,23-Apr-2021 05:00 PM,06-May-2021 05:00 PM,NA ,NA ,23-Apr-2021 05:00 PM,06-May-2021 05:00 PM,03-Jun-2021 02:00 PM,PWD,PWD-461-90-Civil,2021_PWD_46833_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,1.0,ICICI BANK,Executive Engineer,o/O Executive Engineer HP PWD Division Tanda at Nagrota Bagwan,350.0,Nil,Nil,No,AOC,1.0,210351.0,Bhag Singh,30-Apr-2021 01:48 PM,Rejected-Finance,Lowest 5,08-Jun-2021 01:34 PM,Technical,Sum,Suresh Kumar Walia,01-Jun-2021 02:54 PM,technical_70385.pdf,1.0,211357.0,Shadil Thakur,INR,"982,314",Finance,Sum,Suresh Kumar Walia,08-Jun-2021 01:31 PM,finance_70385.pdf,BOQ Comparative Chart,Dr Suresh Kumar walia,Internal,Er Ankit AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,01-Jun-2021 02:56 PM,03-Jun-2021 02:00 PM,techsummary_70385.pdf (678.21 KB),PWD,2021_PWD_46833_1,PWD-461-90-Civil,Construction of link road to village Kchrehar road Km 0/000 to 1/200 in Distt Kangra (HP) Telecom Deposit (SH-Providing and laying interlocking pavers block in Km 0/000 to 0/600).,05-Jul-2021,"INR 982,314",90.0,Suresh Kumar Walia,05-Jul-2021 10:16 AM,Award.pdf (490.00 KB),Award,Dr Suresh Kumar walia,Internal,Er Ankit AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,08-Jun-2021 01:34 PM,finsummary_70385.pdf (192.87 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,2.0,ICICI NEFT/RTGS,,,,,,,AOC,2.0,211237.0,Sahil Sharma,06-May-2021 03:17 PM,Rejected-Finance,Lowest 3,08-Jun-2021 01:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,AOC,3.0,211357.0,Shadil Thakur,06-May-2021 11:43 AM,Accepted-AOC,Award,05-Jul-2021 10:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,AOC,4.0,210817.0,tek chand,05-May-2021 01:37 PM,Rejected-Finance,Lowest 2,08-Jun-2021 01:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,AOC,5.0,211231.0,VISHAKH SOODAN,05-May-2021 03:02 PM,Rejected-Finance,Lowest 4,08-Jun-2021 01:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done Certificate,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and staff,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking no arbitration/litigation with PWD in pending in any court of Law,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
